Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7744.045547,16.677,16.741,0.193,0.668,0.685,0.040,NA,2775,9001,42,51,NA,NA,NA,NA,NA,NA,0.743,1.129,0.743,53,80,80,NA,4434,11, 41,34.990, 65,21,1,15,1,1,1,1,1,65,1,67,1,1,1,1,1,14,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7744.061938,16.391,16.400,0.235,0.224,0.694,0.014,NA,2775,9001,42,51,NA,NA,NA,NA,NA,NA,0.756,1.148,0.756,53,80,80,NA,4434,11, 41,34.990, 65,21,1,15,1,1,1,1,1,65,1,67,1,1,1,1,1,14,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7744.078649,16.711,16.808,0.231,0.677,0.791,0.041,NA,2775,9001,42,51,NA,NA,NA,NA,NA,NA,0.742,1.126,0.742,53,80,80,NA,4434,11, 41,34.990, 65,21,1,15,1,1,1,1,1,65,1,67,1,1,1,1,1,14,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7744.095223,16.575,16.628,0.251,0.239,0.845,0.014,NA,2775,9001,42,51,NA,NA,NA,NA,NA,NA,0.748,1.136,0.748,53,80,80,NA,4434,11, 41,34.990, 65,21,1,15,1,1,1,1,1,65,1,67,1,1,1,1,1,14,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7744.111918,16.694,18.673,2.644,2.807,2.824,0.168,NA,2775,9001,42,51,NA,NA,NA,NA,NA,NA,0.742,1.128,0.742,53,80,80,NA,4434,11, 41,34.990, 65,21,1,15,1,1,1,1,1,65,1,67,1,1,1,1,1,14,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,10952,0x000002280DFCA170,0,0,Hardware Composed: Independent Flip,0,7744.130437,18.519,135.974,0.238,0.225,120.279,0.012,NA,2775,9001,42,51,NA,NA,NA,NA,NA,NA,0.669,1.016,0.669,53,80,80,NA,4434,11, 41,34.990, 65,21,1,15,1,1,1,1,1,65,1,67,1,1,1,1,1,14,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.147628,17.191,8.352,0.216,0.280,111.440,0.016,NA,2775,9001,42,51,NA,NA,NA,NA,NA,NA,0.721,1.095,0.721,53,80,80,NA,4434,11, 41,34.990, 65,21,1,15,1,1,1,1,1,65,1,67,1,1,1,1,1,14,8,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,1,7744.262637,115.009,0.000,0.355,1.125,0.000,0.010,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.108,0.163,0.108,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.263227,0.590,24.924,0.145,1.973,20.765,3.345,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,20.992,31.883,20.992,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.277056,13.829,16.666,0.321,0.956,23.602,0.069,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.895,1.360,0.895,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,1,7744.283994,6.938,0.000,0.121,2.128,0.000,0.307,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,1.784,2.710,1.784,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.291251,7.257,8.308,0.246,0.355,17.716,0.049,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,1.706,2.591,1.706,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.298758,7.508,8.358,0.154,1.580,18.567,0.210,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,1.649,2.504,1.649,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.306179,7.421,8.407,0.130,0.123,19.553,0.017,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,1.668,2.534,1.668,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.314236,8.057,8.257,0.143,0.230,19.753,0.028,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,1.536,2.334,1.536,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.339316,25.080,25.101,0.171,0.164,19.774,0.007,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.494,0.750,0.494,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.351485,12.169,16.551,0.223,0.407,24.156,0.033,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,1.017,1.545,1.017,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.372463,20.977,16.837,0.155,0.147,20.015,0.007,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.590,0.896,0.590,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.389068,16.606,16.495,0.245,0.406,19.905,0.024,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.745,1.132,0.745,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.406100,17.032,16.727,0.167,0.159,19.600,0.009,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.727,1.104,0.727,53,80,80,NA,4435,10, 40,36.279, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.422858,16.758,16.608,0.310,0.294,19.450,0.018,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.739,1.122,0.739,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.438818,15.960,16.746,0.153,0.145,20.236,0.009,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.776,1.178,0.776,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.455435,16.617,16.580,0.155,0.406,20.199,0.024,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.745,1.131,0.745,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.472640,17.205,16.715,0.167,0.159,19.709,0.009,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.720,1.093,0.720,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.489345,16.705,16.616,0.322,0.369,19.620,0.022,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.741,1.125,0.741,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.505585,16.240,16.801,0.155,0.147,20.181,0.009,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.762,1.158,0.762,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.522309,16.724,16.531,0.257,0.281,19.988,0.017,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.740,1.124,0.740,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.539133,16.824,16.761,0.163,0.156,19.926,0.009,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.736,1.118,0.736,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.556055,16.922,16.577,0.302,0.359,19.581,0.021,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.732,1.111,0.732,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.572192,16.137,16.737,0.174,0.166,20.181,0.010,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.767,1.165,0.767,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.588906,16.714,16.595,0.264,0.312,20.062,0.019,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.741,1.125,0.741,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Remnant2-WinGDK-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10952,0x000002280DFCA170,0,0,Composed: Flip,0,7744.605416,16.510,16.744,0.152,0.145,20.296,0.009,NA,2775,9001,43,51,NA,NA,NA,NA,NA,NA,0.750,1.139,0.750,53,80,80,NA,4435,10, 44,36.448, 65,20,0,12,0,0,0,0,0,68,0,73,0,0,0,0,0,11,5,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
