Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,1424.077797,12.378,12.185,0.197,16.615,16.615,1.342,51.109,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.527,0.692,0.527,116,153,153,NA,4257,9, 35,34.516, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.089993,12.196,22.235,0.186,17.097,26.655,1.402,61.120,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.535,0.703,0.535,116,153,153,NA,4257,9, 35,34.516, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.102456,12.464,16.647,0.153,17.840,30.838,1.431,65.492,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.524,0.688,0.524,116,153,153,NA,4257,9, 35,34.516, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.115315,12.859,8.345,0.185,17.537,26.323,1.364,61.545,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.508,0.666,0.508,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.128049,12.734,16.694,0.207,17.477,30.283,1.373,66.045,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.513,0.673,0.513,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.140803,12.754,8.311,0.162,17.221,25.840,1.350,61.325,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.512,0.672,0.512,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.153011,12.207,16.666,0.151,18.102,30.299,1.483,65.219,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.535,0.702,0.535,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.165914,12.903,16.637,0.198,17.785,34.032,1.378,68.922,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.506,0.664,0.506,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.179117,13.203,8.344,0.167,17.716,29.173,1.342,64.863,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.494,0.649,0.494,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.191961,12.844,16.697,0.172,17.492,33.026,1.362,68.618,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.508,0.667,0.508,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.204568,12.607,8.294,0.172,17.550,28.713,1.392,64.097,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.518,0.680,0.518,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.217094,12.527,16.648,0.179,17.649,32.834,1.409,67.673,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.521,0.684,0.521,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.229896,12.802,8.348,0.182,17.545,28.380,1.370,63.428,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.510,0.669,0.510,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.242377,12.481,16.652,0.149,17.955,32.551,1.439,67.478,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.523,0.687,0.523,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.254957,12.579,8.344,0.161,18.034,28.316,1.434,63.115,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.519,0.681,0.519,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.268104,13.147,16.660,0.140,17.530,31.829,1.333,67.273,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.496,0.652,0.496,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.280538,12.435,8.334,0.162,17.612,27.729,1.416,62.866,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.525,0.689,0.525,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.293208,12.670,16.655,0.147,17.879,31.714,1.411,66.683,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.515,0.676,0.515,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.306427,13.219,8.344,0.170,17.229,26.839,1.303,62.355,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.494,0.648,0.494,116,153,153,NA,4257,9, 38,36.884, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.318862,12.435,16.648,0.145,17.191,31.052,1.382,66.363,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.525,0.689,0.525,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.331643,12.781,8.345,0.167,17.024,26.616,1.332,62.551,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.511,0.670,0.511,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.343864,12.221,17.085,0.155,17.271,31.481,1.413,67.123,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.534,0.701,0.534,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.356539,12.675,7.914,0.164,17.136,26.720,1.352,62.113,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.515,0.676,0.515,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.368646,12.107,16.642,0.156,17.590,31.255,1.453,66.776,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.539,0.708,0.539,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.381892,13.246,8.349,0.162,16.895,26.359,1.275,62.132,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.493,0.647,0.493,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.394057,12.165,16.653,0.156,17.186,30.846,1.413,66.739,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.537,0.704,0.537,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.406466,12.409,8.342,0.154,17.206,26.779,1.387,61.979,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.526,0.691,0.526,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.418807,12.341,16.648,0.170,17.350,31.086,1.406,66.509,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.529,0.694,0.529,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.431498,12.691,8.346,0.170,17.320,26.741,1.365,62.128,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.514,0.675,0.514,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.443885,12.387,16.654,0.153,17.493,31.008,1.412,66.657,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.527,0.692,0.527,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.456845,12.960,8.342,0.167,17.233,26.390,1.330,62.253,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.504,0.661,0.504,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1424.468965,12.120,16.654,0.149,17.714,30.924,1.462,66.667,2775,9001,98,62,NA,NA,NA,NA,NA,NA,0.539,0.707,0.539,116,153,153,NA,4257,9, 36,35.873, 65,28,0,22,0,8,0,0,0,41,0,40,0,0,0,0,0,18,10,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
