Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,597.101586,15.473,15.999,0.188,23.828,23.828,1.540,66.763,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.408,0.535,0.408,120,158,158,NA,4249,8, 33,31.759, 65,22,0,20,0,0,0,0,0,36,0,36,0,0,0,0,0,15,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.117839,16.252,29.004,0.292,24.981,36.579,1.537,79.599,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.388,0.510,0.388,120,158,158,NA,4249,8, 33,31.759, 65,22,0,20,0,0,0,0,0,36,0,36,0,0,0,0,0,15,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.133647,15.809,16.670,0.180,25.767,37.441,1.630,80.417,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.399,0.524,0.399,120,158,158,NA,4249,8, 33,31.759, 65,22,0,20,0,0,0,0,0,36,0,36,0,0,0,0,0,15,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.151038,17.391,16.661,0.184,24.901,36.711,1.432,81.056,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.363,0.476,0.363,120,158,158,NA,4249,8, 33,31.759, 65,22,0,20,0,0,0,0,0,36,0,36,0,0,0,0,0,15,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.167384,16.346,16.670,0.234,25.840,37.035,1.581,81.973,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.386,0.507,0.386,120,158,158,NA,4249,8, 33,31.759, 65,22,0,20,0,0,0,0,0,36,0,36,0,0,0,0,0,15,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.183909,16.525,16.666,0.157,26.588,37.175,1.609,81.162,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.382,0.501,0.382,120,158,158,NA,4249,8, 33,31.759, 65,22,0,20,0,0,0,0,0,36,0,36,0,0,0,0,0,15,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.201287,17.378,16.671,0.161,26.451,36.468,1.522,81.347,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.363,0.477,0.363,120,158,158,NA,4249,8, 33,31.759, 65,22,0,20,0,0,0,0,0,36,0,36,0,0,0,0,0,15,9,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.218383,17.096,16.663,0.169,26.639,36.035,1.558,81.438,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.373,0.491,0.373,119,156,156,NA,4248,9, 33,31.759, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.236548,18.165,16.671,0.175,25.766,34.541,1.418,80.925,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.351,0.462,0.351,119,156,156,NA,4248,9, 33,31.759, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.254040,17.493,24.976,0.163,25.679,42.024,1.468,88.608,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.365,0.480,0.365,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.271001,16.960,16.671,0.174,25.300,41.735,1.492,87.387,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.376,0.495,0.376,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.287773,16.773,16.677,0.191,25.249,41.639,1.505,86.516,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.381,0.500,0.381,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.304591,16.818,16.657,0.170,24.991,41.478,1.486,86.044,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.380,0.499,0.380,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.320815,16.224,16.896,0.160,25.443,42.150,1.568,86.153,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.393,0.517,0.393,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.337886,17.071,8.123,0.182,24.871,33.202,1.457,77.649,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.374,0.492,0.374,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.354170,16.284,16.667,0.168,25.223,33.585,1.549,76.906,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.392,0.515,0.392,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.371400,17.231,16.663,0.184,24.610,33.018,1.428,76.571,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.370,0.487,0.370,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.388012,16.611,16.665,0.153,24.585,33.071,1.480,76.888,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.384,0.505,0.384,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.404726,16.714,16.671,0.161,24.541,33.029,1.468,76.399,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.382,0.502,0.382,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.421157,16.431,16.661,0.165,24.759,33.259,1.507,76.541,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.388,0.511,0.388,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.439042,17.886,16.662,0.156,23.270,32.036,1.301,76.449,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.357,0.469,0.357,119,156,156,NA,4248,9, 33,35.552, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.454427,15.385,16.670,0.168,24.517,33.322,1.594,76.583,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.415,0.545,0.415,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.470576,16.148,16.666,0.166,24.877,33.840,1.540,76.601,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.395,0.520,0.395,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.487358,16.783,16.667,0.159,24.691,33.724,1.471,76.667,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.380,0.500,0.380,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.504100,16.742,16.663,0.175,24.524,33.645,1.465,77.048,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.381,0.501,0.381,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.520823,16.722,16.668,0.165,24.424,33.591,1.461,77.025,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.382,0.502,0.382,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.537319,16.496,16.663,0.177,24.507,33.757,1.486,77.008,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.387,0.509,0.387,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.553927,16.608,16.671,0.162,24.363,33.821,1.467,77.785,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.384,0.505,0.384,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.570566,16.639,16.663,0.158,24.241,33.845,1.457,77.952,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.384,0.504,0.384,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.586810,16.244,16.668,0.169,24.570,34.270,1.513,78.073,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.393,0.517,0.393,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.603235,16.425,16.663,0.161,24.750,34.507,1.507,78.390,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.389,0.511,0.389,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,597.620013,16.777,16.668,0.192,24.437,34.398,1.457,78.340,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.380,0.500,0.380,119,156,156,NA,4248,9, 33,32.461, 65,23,1,20,1,1,1,1,1,34,1,33,1,1,1,1,1,17,11,12,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
