Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,821.095345,13.605,13.929,0.331,29.654,29.722,2.180,48.919,2775,9001,99,63,NA,NA,NA,NA,NA,NA,0.488,0.660,0.488,111,150,150,NA,4289,15, 37,40.158, 65,33,0,34,0,27,0,21,0,67,0,48,0,0,0,0,0,19,15,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,821.109437,14.092,14.178,0.345,29.601,29.808,2.101,48.753,2775,9001,99,63,NA,NA,NA,NA,NA,NA,0.471,0.637,0.471,111,150,150,NA,4289,15, 37,40.158, 65,33,0,34,0,27,0,21,0,67,0,48,0,0,0,0,0,19,15,15,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,821.123381,13.944,13.786,0.321,29.625,29.650,2.125,49.119,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.472,0.638,0.472,112,151,151,NA,4302,18, 37,40.158, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,821.137391,14.010,48.349,0.370,29.459,63.990,2.103,84.382,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.470,0.635,0.470,112,151,151,NA,4302,18, 37,40.158, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.151309,13.918,8.389,0.333,29.851,58.460,2.145,78.703,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.473,0.639,0.473,112,151,151,NA,4302,18, 37,40.158, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.165212,13.903,16.597,0.380,38.967,61.153,2.803,81.457,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.473,0.640,0.473,112,151,151,NA,4302,18, 37,40.158, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.179620,14.408,16.667,18.130,40.091,63.412,2.783,84.101,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.457,0.617,0.457,112,151,151,NA,4302,18, 37,40.158, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.205291,25.671,8.387,0.156,27.671,46.129,1.078,60.299,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.256,0.346,0.256,112,151,151,NA,4302,18, 37,40.158, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.217265,11.975,16.657,0.303,30.329,50.812,2.533,68.739,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.549,0.743,0.549,112,151,151,NA,4302,18, 37,40.158, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.233054,15.789,16.622,0.270,29.596,51.645,1.875,73.867,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.417,0.563,0.417,112,151,151,NA,4302,18, 37,40.158, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.247681,14.627,16.666,0.245,29.956,53.684,2.048,74.743,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.450,0.608,0.450,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.262434,14.753,8.348,0.308,28.922,47.280,1.960,68.494,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.446,0.603,0.446,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.276822,14.388,16.740,0.283,29.726,49.632,2.066,69.718,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.457,0.618,0.457,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.291360,14.539,16.588,0.239,29.680,51.682,2.041,72.659,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.453,0.612,0.453,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.306632,15.272,16.653,0.210,29.615,53.063,1.939,74.822,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.431,0.582,0.431,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.321127,14.495,8.319,0.247,28.962,46.887,1.998,67.758,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.454,0.614,0.454,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.336337,15.210,16.756,0.207,29.242,48.433,1.923,70.128,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.433,0.585,0.433,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.350176,13.838,16.616,0.228,30.277,51.211,2.188,71.559,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.475,0.643,0.475,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.365663,15.488,16.647,0.227,29.742,52.371,1.920,74.354,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.425,0.574,0.425,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.380541,14.878,8.309,0.236,28.902,45.802,1.943,67.863,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.442,0.598,0.442,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.395491,14.949,16.737,0.232,28.886,47.589,1.932,69.052,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.440,0.595,0.440,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.409531,14.041,16.773,0.227,30.037,50.322,2.139,71.558,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.469,0.633,0.469,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.424464,14.933,16.511,0.237,29.804,51.900,1.996,74.047,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.441,0.596,0.441,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.439666,15.202,16.659,0.231,29.527,53.357,1.942,75.747,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.433,0.585,0.433,112,151,151,NA,4302,18, 37,42.652, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.454364,14.698,8.383,0.235,28.974,47.042,1.971,68.915,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.448,0.605,0.448,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.469279,14.914,16.730,0.222,28.945,48.858,1.941,70.934,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.441,0.596,0.441,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.483348,14.069,16.554,0.246,29.584,51.343,2.103,72.623,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.468,0.632,0.468,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.498309,14.961,16.666,0.223,29.090,53.048,1.944,75.203,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.440,0.594,0.440,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.513021,14.712,8.351,0.241,29.003,46.687,1.971,68.612,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.447,0.605,0.447,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.526861,13.840,16.716,0.443,29.793,49.563,2.153,69.907,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.475,0.643,0.475,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.542114,15.254,16.611,0.217,29.919,50.920,1.961,73.179,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.431,0.583,0.431,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.556746,14.631,16.663,0.229,29.656,52.951,2.027,74.766,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.450,0.608,0.450,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,821.572041,15.296,8.303,0.213,28.962,45.959,1.893,68.467,2775,9001,99,64,NA,NA,NA,NA,NA,NA,0.430,0.581,0.430,112,151,151,NA,4302,18, 42,42.664, 65,38,1,41,1,31,1,27,1,77,1,67,1,1,0,0,1,23,18,18,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
