Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,2104.241424,31.766,31.434,0.189,11.993,11.993,0.378,37.193,2775,9001,41,55,NA,NA,NA,NA,NA,NA,0.381,0.570,0.381,55,82,82,NA,4235,5, 28,22.938, 65,3,1,1,1,1,1,1,1,23,1,30,1,1,1,1,1,11,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.280094,38.669,49.264,3.267,8.845,22.588,0.229,53.110,2775,9001,41,55,NA,NA,NA,NA,NA,NA,0.313,0.469,0.313,55,82,82,NA,4235,5, 28,22.938, 65,3,1,1,1,1,1,1,1,23,1,30,1,1,1,1,1,11,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.308045,27.952,33.347,0.201,13.064,27.983,0.467,53.136,2775,9001,41,55,NA,NA,NA,NA,NA,NA,0.433,0.648,0.433,55,82,82,NA,4235,5, 28,22.938, 65,3,1,1,1,1,1,1,1,23,1,30,1,1,1,1,1,11,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.344017,35.972,33.290,0.187,13.204,25.301,0.367,53.087,2775,9001,41,55,NA,NA,NA,NA,NA,NA,0.336,0.504,0.336,55,82,82,NA,4235,5, 28,22.938, 65,3,1,1,1,1,1,1,1,23,1,30,1,1,1,1,1,11,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.374697,30.680,33.334,0.217,12.980,27.955,0.423,53.092,2775,9001,41,55,NA,NA,NA,NA,NA,NA,0.394,0.591,0.394,55,82,82,NA,4235,5, 33,27.102, 65,3,1,1,1,1,1,1,1,23,1,30,1,1,1,1,1,11,7,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.407757,33.059,33.378,0.168,13.229,28.273,0.400,53.136,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.346,0.511,0.346,59,87,87,NA,4204,3, 33,27.102, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.446454,38.697,33.337,0.170,11.137,22.913,0.288,53.754,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.296,0.437,0.296,59,87,87,NA,4204,3, 33,27.102, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.474846,28.392,33.321,0.174,13.150,27.842,0.463,53.752,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.403,0.595,0.403,59,87,87,NA,4204,3, 33,27.102, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.508071,33.226,33.339,0.173,12.367,27.955,0.372,53.750,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.344,0.509,0.344,59,87,87,NA,4204,3, 33,27.102, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.543065,34.993,33.299,0.185,12.466,26.261,0.356,51.236,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.327,0.483,0.327,59,87,87,NA,4204,3, 33,27.102, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.574917,31.852,33.328,0.177,12.191,27.737,0.383,51.222,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.359,0.531,0.359,59,87,87,NA,4204,3, 28,24.331, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.607569,32.652,33.328,0.166,12.657,28.413,0.388,51.228,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.350,0.518,0.350,59,87,87,NA,4204,3, 28,24.331, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.641043,33.474,33.341,0.170,12.199,28.279,0.364,51.234,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.342,0.505,0.342,59,87,87,NA,4204,3, 28,24.331, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.675795,34.752,33.367,0.173,12.600,26.894,0.363,51.268,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.329,0.486,0.329,59,87,87,NA,4204,3, 28,24.331, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.707768,31.974,33.293,0.168,12.334,28.213,0.386,51.227,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.358,0.529,0.358,59,87,87,NA,4204,3, 28,24.331, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.740998,33.229,33.372,0.172,12.623,28.356,0.380,51.265,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.344,0.509,0.344,59,87,87,NA,4204,3, 28,24.331, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.777337,36.340,33.293,0.167,12.080,25.309,0.332,52.887,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.315,0.465,0.315,59,87,87,NA,4204,3, 28,25.153, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.808328,30.990,33.331,0.174,12.751,27.649,0.411,52.885,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.369,0.545,0.369,59,87,87,NA,4204,3, 28,25.153, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.840994,32.666,33.386,0.171,12.237,28.369,0.375,52.937,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.350,0.517,0.350,59,87,87,NA,4204,3, 28,25.153, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.875185,34.191,33.291,0.181,12.571,27.469,0.368,50.300,2775,9001,41,56,NA,NA,NA,NA,NA,NA,0.335,0.494,0.335,59,87,87,NA,4204,3, 28,25.153, 65,0,0,0,0,0,0,0,0,22,0,22,0,0,0,0,0,9,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.907987,32.802,33.321,0.172,12.387,27.988,0.378,50.285,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.329,0.493,0.329,61,92,92,NA,4139,4, 28,25.153, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.940812,32.825,33.347,0.181,12.500,28.510,0.381,50.299,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.329,0.492,0.329,61,92,92,NA,4139,4, 28,25.153, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2104.978058,37.246,33.319,0.163,12.223,24.584,0.328,50.197,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.290,0.434,0.290,61,92,92,NA,4139,4, 34,25.587, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.008491,30.433,33.374,0.172,12.507,27.524,0.411,50.327,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.355,0.531,0.355,61,92,92,NA,4139,4, 34,25.587, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.046157,37.666,33.301,0.257,10.407,23.159,0.276,50.288,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.287,0.429,0.287,61,92,92,NA,4139,4, 34,25.587, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.075328,29.171,33.326,0.189,12.438,27.314,0.426,51.105,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.370,0.554,0.370,61,92,92,NA,4139,4, 34,25.587, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.108169,32.842,33.328,0.168,12.463,27.800,0.379,51.098,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.329,0.492,0.329,61,92,92,NA,4139,4, 34,25.587, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.140911,32.742,33.334,0.178,12.665,28.392,0.387,51.100,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.330,0.494,0.330,61,92,92,NA,4139,4, 34,25.587, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.174545,33.634,33.378,0.162,12.293,28.136,0.365,51.137,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.321,0.481,0.321,61,92,92,NA,4139,4, 34,25.587, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.211834,37.289,33.285,0.175,12.661,24.132,0.340,50.449,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.290,0.433,0.290,61,92,92,NA,4139,4, 29,23.936, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.241300,29.467,33.337,0.166,12.453,28.002,0.423,50.454,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.367,0.549,0.367,61,92,92,NA,4139,4, 29,23.936, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,2105.274361,33.060,33.346,0.179,12.525,28.288,0.379,50.465,2775,9001,42,56,NA,NA,NA,NA,NA,NA,0.327,0.489,0.327,61,92,92,NA,4139,4, 29,23.936, 65,5,0,0,0,0,0,0,0,26,0,22,0,0,0,0,0,12,9,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
