Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,3364,0x000002BF1DD354E0,0,0,Hardware Composed: Independent Flip,0,425.311388,15.363,15.125,0.185,6.803,6.860,0.443,23.863,2775,9001,56,54,NA,NA,NA,NA,NA,NA,0.681,0.981,0.681,66,95,95,NA,4305,9, 37,33.534, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,3364,0x000002BF1DD354E0,0,0,Hardware Composed: Independent Flip,0,425.328017,16.629,16.721,0.185,6.939,6.952,0.417,23.917,2775,9001,56,54,NA,NA,NA,NA,NA,NA,0.630,0.906,0.630,66,95,95,NA,4305,9, 37,34.126, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,3364,0x000002BF1DD354E0,0,0,Hardware Composed: Independent Flip,0,425.344844,16.826,17.965,0.192,6.835,8.090,0.406,25.216,2775,9001,56,54,NA,NA,NA,NA,NA,NA,0.622,0.895,0.622,66,95,95,NA,4305,9, 37,34.126, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.361442,16.599,75.759,0.227,7.055,67.251,0.425,84.306,2775,9001,56,54,NA,NA,NA,NA,NA,NA,0.631,0.908,0.631,66,95,95,NA,4305,9, 37,34.126, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.378992,17.549,16.638,0.191,41.521,66.339,2.366,84.278,2775,9001,56,54,NA,NA,NA,NA,NA,NA,0.597,0.858,0.597,66,95,95,NA,4305,9, 37,34.126, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.395229,16.237,8.295,0.211,35.838,58.398,2.207,75.907,2775,9001,56,54,NA,NA,NA,NA,NA,NA,0.645,0.928,0.645,66,95,95,NA,4305,9, 37,34.126, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.430432,35.203,8.341,0.187,10.745,31.535,0.305,67.580,2775,9001,56,54,NA,NA,NA,NA,NA,NA,0.297,0.428,0.297,66,95,95,NA,4305,9, 37,34.126, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.438871,8.439,8.298,0.161,12.243,31.394,1.451,59.212,2775,9001,56,54,NA,NA,NA,NA,NA,NA,1.241,1.785,1.241,66,95,95,NA,4305,9, 37,34.126, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.449523,10.652,8.297,0.145,11.619,29.039,1.091,50.839,2775,9001,56,54,NA,NA,NA,NA,NA,NA,0.983,1.414,0.983,66,95,95,NA,4305,9, 37,34.126, 65,21,1,3,1,1,1,1,1,46,1,52,1,1,1,1,1,19,11,11,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.462707,13.184,16.729,0.150,8.577,32.584,0.651,50.907,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.792,1.139,0.792,66,95,95,NA,4305,8, 37,34.126, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.479215,16.508,8.312,0.163,6.328,24.389,0.383,42.552,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.633,0.910,0.633,66,95,95,NA,4305,8, 37,34.126, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.494673,15.458,16.663,0.168,6.920,25.594,0.448,42.550,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.676,0.972,0.676,66,95,95,NA,4305,8, 37,34.126, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.511457,16.785,16.702,0.154,7.297,25.511,0.435,42.583,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.622,0.895,0.622,66,95,95,NA,4305,8, 37,34.126, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.528175,16.718,16.624,0.161,7.179,25.417,0.429,42.539,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.625,0.898,0.625,66,95,95,NA,4305,8, 37,34.126, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.544592,16.417,16.715,0.160,7.378,25.715,0.449,42.590,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.636,0.915,0.636,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.561765,17.173,16.622,0.233,7.069,25.164,0.412,42.543,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.608,0.875,0.608,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.578223,16.458,16.630,0.175,7.001,25.336,0.425,41.924,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.635,0.913,0.635,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.594900,16.677,16.662,0.168,7.067,25.321,0.424,41.921,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.626,0.901,0.626,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.611435,16.535,16.679,0.180,6.966,25.466,0.421,41.935,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.632,0.908,0.632,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.627777,16.342,16.655,0.175,7.046,25.779,0.431,41.925,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.639,0.919,0.639,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.647160,19.383,25.063,0.230,7.010,31.458,0.362,50.320,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.539,0.775,0.539,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.661899,14.739,8.311,0.185,7.214,25.030,0.489,41.965,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.709,1.019,0.709,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.677688,15.789,16.664,0.326,6.881,25.905,0.436,41.962,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.662,0.951,0.662,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.694649,16.961,16.663,0.188,6.849,25.608,0.404,41.962,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.616,0.886,0.616,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.711143,16.494,16.644,0.162,7.234,25.757,0.439,41.933,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.633,0.911,0.633,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.727862,16.719,16.699,0.165,7.208,25.736,0.431,41.968,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.625,0.898,0.625,66,95,95,NA,4305,8, 38,39.266, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.744455,16.593,16.676,0.160,7.070,25.819,0.426,41.978,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.630,0.905,0.630,66,95,95,NA,4305,8, 38,35.284, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.761310,16.855,16.654,0.175,7.225,25.619,0.429,41.964,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.620,0.891,0.620,66,95,95,NA,4305,8, 38,35.284, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.777892,16.582,16.625,0.164,7.156,25.662,0.432,41.922,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.630,0.906,0.630,66,95,95,NA,4305,8, 38,35.284, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.794480,16.588,16.709,0.166,7.029,25.783,0.424,41.964,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.630,0.905,0.630,66,95,95,NA,4305,8, 38,35.284, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.811179,16.699,16.633,0.164,7.037,25.717,0.421,41.930,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.626,0.899,0.626,66,95,95,NA,4305,8, 38,35.284, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,3364,0x000002BF1DD354E0,0,0,Composed: Flip,0,425.828296,17.117,16.694,0.173,7.077,25.294,0.413,41.958,2775,9001,56,53,NA,NA,NA,NA,NA,NA,0.610,0.877,0.610,66,95,95,NA,4305,8, 38,35.284, 65,20,0,0,0,0,0,0,0,41,0,57,0,0,0,0,0,17,8,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
