Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,5720,0x0000000062E2CFE0,0,0,Hardware Composed: Independent Flip,0,945.054562,20.369,21.017,0.223,2.564,2.915,0.126,78.570,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.325,0.444,0.325,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,5720,0x0000000062E2CFE0,0,0,Hardware Composed: Independent Flip,0,945.074948,20.386,19.721,0.134,2.184,2.250,0.107,98.291,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.325,0.443,0.325,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,5720,0x0000000062E2CFE0,0,0,Hardware Composed: Independent Flip,0,945.095404,20.456,21.083,0.453,2.709,2.878,0.132,74.782,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.324,0.442,0.324,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,5720,0x0000000062E2CFE0,0,0,Hardware Composed: Independent Flip,0,945.116064,20.660,19.884,0.178,2.048,2.102,0.099,94.667,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.320,0.437,0.320,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.136969,20.905,59.961,0.303,2.414,41.158,0.115,113.696,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.317,0.432,0.317,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.157473,20.504,8.240,0.133,6.268,28.893,0.306,121.935,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.323,0.441,0.323,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.180222,22.748,16.666,0.389,2.529,22.811,0.111,97.716,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.291,0.397,0.291,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.200794,20.572,16.686,0.155,1.810,18.924,0.088,114.402,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.322,0.439,0.322,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.223458,22.663,24.996,0.195,2.520,21.257,0.111,98.487,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.292,0.399,0.292,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.243826,20.368,24.987,0.114,2.079,25.875,0.102,123.474,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.325,0.444,0.325,110,151,151,NA,4446,30, 52,64.004, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.267669,23.844,25.134,0.203,2.491,27.165,0.104,107.701,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.278,0.379,0.278,110,151,151,NA,4446,30, 54,66.197, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.288079,20.410,16.566,0.110,2.117,23.321,0.104,124.267,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.324,0.443,0.324,110,151,151,NA,4446,30, 54,66.197, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.312614,24.535,24.987,0.185,2.558,23.774,0.104,104.619,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.270,0.368,0.270,110,151,151,NA,4446,30, 54,66.197, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.333092,20.478,16.639,0.190,1.951,19.935,0.095,121.258,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.323,0.441,0.323,110,151,151,NA,4446,30, 54,66.197, 65,100,0,83,0,68,0,49,0,69,37,98,0,43,0,20,0,10,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.355678,22.586,25.032,0.164,2.703,22.381,0.120,105.220,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.289,0.393,0.289,112,153,153,NA,4442,32, 54,66.197, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.376142,20.463,24.966,0.196,2.131,26.883,0.104,130.186,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.319,0.433,0.319,112,153,153,NA,4442,32, 54,66.197, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.398602,22.461,16.740,0.184,2.549,21.162,0.113,105.078,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.290,0.395,0.290,112,153,153,NA,4442,32, 54,66.197, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.419204,20.602,24.922,0.173,1.680,25.482,0.082,130.000,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.316,0.431,0.316,112,153,153,NA,4442,32, 54,66.197, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.441630,22.426,16.674,0.179,2.776,19.731,0.124,104.324,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.291,0.396,0.291,112,153,153,NA,4442,32, 54,66.197, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.462042,20.411,24.996,0.130,2.070,24.316,0.101,129.320,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.319,0.435,0.319,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.484474,22.433,25.038,0.186,2.564,26.921,0.114,111.268,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.291,0.395,0.291,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.504867,20.393,16.631,0.119,1.883,23.159,0.092,127.899,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.320,0.435,0.320,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.527590,22.723,25.021,0.181,2.679,25.457,0.118,108.957,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.287,0.390,0.287,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.547980,20.390,16.651,0.103,2.129,21.718,0.104,125.608,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.320,0.435,0.320,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.570353,22.373,25.003,0.191,2.484,24.348,0.111,105.145,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.291,0.396,0.291,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.590803,20.450,16.680,0.131,1.915,20.578,0.094,121.825,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.319,0.434,0.319,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.613298,22.495,24.967,0.220,2.667,23.050,0.119,102.768,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.290,0.394,0.290,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.633794,20.497,16.683,0.150,1.987,19.237,0.097,119.451,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.318,0.433,0.318,112,153,153,NA,4442,32, 53,64.620, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.656081,22.286,24.982,0.188,2.567,21.933,0.115,100.430,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.293,0.398,0.293,112,153,153,NA,4442,32, 52,65.364, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.676489,20.408,25.002,0.100,1.842,26.526,0.090,125.432,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.320,0.435,0.320,112,153,153,NA,4442,32, 52,65.364, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.699093,22.604,16.663,0.179,2.639,20.585,0.117,98.156,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.288,0.392,0.288,112,153,153,NA,4442,32, 52,65.364, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ImmortalsOfAveum-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5720,0x0000000062E2CFE0,0,0,Composed: Flip,0,945.719492,20.399,25.029,0.099,2.023,25.215,0.099,123.185,2760,9001,99,64,NA,NA,NA,NA,NA,NA,0.320,0.435,0.320,112,153,153,NA,4442,32, 52,65.364, 65,100,1,74,1,75,1,64,1,97,1,97,1,46,1,26,1,14,9,12,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
