Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,11720,0x000001610132BAA0,0,0,Hardware Composed: Independent Flip,0,4091.270274,17.774,18.198,0.172,2.504,2.556,0.141,116.054,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.380,0.517,0.380,108,147,147,NA,4435,30, 50,61.160, 65,100,1,66,1,69,1,44,1,83,18,98,1,39,1,34,1,13,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,11720,0x000001610132BAA0,0,0,Hardware Composed: Independent Flip,0,4091.288075,17.801,17.908,0.213,1.901,2.663,0.107,98.543,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.380,0.516,0.380,108,147,147,NA,4435,30, 50,61.160, 65,100,1,66,1,69,1,44,1,83,18,98,1,39,1,34,1,13,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,11720,0x000001610132BAA0,0,0,Hardware Composed: Independent Flip,0,4091.305813,17.738,54.977,0.147,2.540,39.902,0.143,153.520,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.381,0.518,0.381,108,147,147,NA,4435,30, 50,61.160, 65,100,1,66,1,69,1,44,1,83,18,98,1,39,1,34,1,13,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.324043,18.230,8.304,0.267,1.816,29.975,0.100,126.370,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.371,0.504,0.371,108,147,147,NA,4435,30, 50,61.160, 65,100,1,66,1,69,1,44,1,83,18,98,1,39,1,34,1,13,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.341875,17.832,16.672,0.188,6.439,28.816,0.361,143.042,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.379,0.515,0.379,108,147,147,NA,4435,30, 50,61.160, 65,100,1,66,1,69,1,44,1,83,18,98,1,39,1,34,1,13,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.361877,20.002,16.647,0.265,2.242,25.460,0.112,125.900,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.338,0.459,0.338,108,147,147,NA,4435,30, 50,64.147, 65,100,1,66,1,69,1,44,1,83,18,98,1,39,1,34,1,13,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.379718,17.841,16.677,0.179,2.752,24.297,0.154,142.577,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.376,0.512,0.376,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.401662,21.944,16.689,0.157,2.051,19.042,0.093,123.764,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.306,0.416,0.306,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.419324,17.662,24.976,0.096,2.108,26.356,0.119,148.740,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.380,0.517,0.380,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.442862,23.537,16.691,0.197,1.855,19.509,0.079,129.852,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.285,0.388,0.285,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.460553,17.691,24.957,0.102,2.273,26.775,0.128,154.809,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.380,0.516,0.380,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.482784,22.231,16.725,0.152,2.963,21.269,0.133,136.037,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.302,0.411,0.302,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.500541,17.756,16.571,0.233,2.054,20.084,0.116,152.608,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.378,0.514,0.378,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.523403,22.863,41.668,0.152,2.945,38.889,0.129,157.613,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.294,0.399,0.294,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.541113,17.710,8.385,0.163,9.627,29.564,0.544,165.999,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.379,0.515,0.379,109,148,148,NA,4434,30, 50,64.147, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.560868,19.755,24.973,0.133,3.015,34.782,0.153,155.251,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.340,0.462,0.340,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.578521,17.653,16.637,0.154,11.213,33.767,0.635,171.888,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.380,0.517,0.380,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.599832,21.310,16.710,0.127,3.001,29.166,0.141,152.102,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.315,0.428,0.315,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.617501,17.670,16.622,0.164,2.428,28.118,0.137,168.723,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.380,0.517,0.380,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.638174,20.673,33.383,0.156,2.898,40.828,0.140,164.700,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.325,0.442,0.325,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.655855,17.681,8.328,0.155,10.407,31.475,0.589,173.028,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.380,0.516,0.380,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.675366,19.511,16.630,0.139,3.697,28.594,0.189,151.570,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.344,0.468,0.344,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.693058,17.692,8.357,0.153,2.336,19.259,0.132,159.927,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.380,0.516,0.380,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.717024,23.966,25.045,0.166,2.309,20.338,0.096,146.298,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.280,0.381,0.280,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.734783,17.759,16.589,0.155,1.675,19.167,0.094,162.887,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.378,0.514,0.378,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.756296,21.512,25.007,0.125,2.326,22.662,0.108,146.929,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.312,0.424,0.312,109,148,148,NA,4434,30, 49,62.939, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.773968,17.672,25.094,0.126,1.808,30.084,0.102,172.022,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.380,0.517,0.380,109,148,148,NA,4434,30, 50,61.594, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.794899,20.931,24.900,0.148,2.684,34.053,0.128,159.289,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.321,0.436,0.321,109,148,148,NA,4434,30, 50,61.594, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.812666,17.767,16.740,0.156,2.120,33.026,0.119,176.029,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.378,0.514,0.378,109,148,148,NA,4434,30, 50,61.594, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.833408,20.742,24.922,0.123,5.066,37.206,0.244,163.823,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.324,0.440,0.324,109,148,148,NA,4434,30, 50,61.594, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.851097,17.689,33.334,0.124,12.186,52.851,0.689,197.157,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.380,0.516,0.380,109,148,148,NA,4434,30, 50,61.594, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.872245,21.148,8.332,0.109,2.507,40.035,0.119,168.619,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.318,0.432,0.318,109,148,148,NA,4434,30, 50,61.594, 65,100,0,72,0,61,0,43,1,77,34,97,0,32,0,37,0,14,11,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,4091.889950,17.705,25.170,0.146,11.110,47.500,0.628,193.789,2775,9001,99,61,NA,NA,NA,NA,NA,NA,0.381,0.521,0.381,108,148,148,NA,4429,30, 50,61.594, 65,100,0,70,0,61,0,44,0,51,60,98,0,44,0,29,0,14,9,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
