Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,22004,0x00000255993EBE00,0,0,Hardware Composed: Independent Flip,0,5916.339353,16.420,16.371,0.244,0.232,0.293,0.014,68.168,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.017,1.836,1.017,33,59,59,NA,4439,29, 46,61.415, 65,100,0,78,0,43,0,44,0,98,0,98,0,61,0,29,0,9,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,22004,0x00000255993EBE00,0,0,Hardware Composed: Independent Flip,0,5916.355956,16.603,16.545,0.118,0.186,0.236,0.011,84.713,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.006,1.816,1.006,33,59,59,NA,4439,29, 46,61.415, 65,100,0,78,0,43,0,44,0,98,0,98,0,61,0,29,0,9,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,22004,0x00000255993EBE00,0,0,Hardware Composed: Independent Flip,0,5916.372979,17.023,17.082,0.240,0.229,0.295,0.013,68.455,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.981,1.771,0.981,33,59,59,NA,4439,29, 46,61.415, 65,100,0,78,0,43,0,44,0,98,0,98,0,61,0,29,0,9,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,22004,0x00000255993EBE00,0,0,Hardware Composed: Independent Flip,0,5916.389612,16.633,16.828,0.216,0.207,0.490,0.012,85.283,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.004,1.812,1.004,33,59,59,NA,4439,29, 46,61.415, 65,100,0,78,0,43,0,44,0,98,0,98,0,61,0,29,0,9,7,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,0,22004,0x00000255993EBE00,0,0,Hardware Composed: Independent Flip,0,5916.406126,16.514,53.847,0.467,0.451,37.823,0.027,105.804,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.011,1.825,1.011,33,59,59,NA,4435,30, 46,61.415, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.423017,16.891,8.289,0.140,0.134,29.221,0.008,114.093,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.989,1.785,0.989,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.441765,18.747,16.697,0.160,2.355,27.170,0.126,96.592,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.891,1.608,0.891,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.458290,16.526,8.301,0.231,0.222,18.945,0.013,104.892,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.011,1.824,1.011,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.472956,14.666,16.708,0.157,0.407,20.987,0.028,88.270,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.139,2.055,1.139,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.489473,16.517,16.622,0.095,0.130,21.092,0.008,104.892,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.011,1.825,1.011,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.507190,17.717,16.705,0.169,0.160,20.080,0.009,88.261,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.943,1.701,0.943,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.523736,16.546,16.630,0.104,0.133,20.163,0.008,104.891,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.009,1.822,1.009,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.539529,15.793,16.717,0.157,0.408,21.088,0.026,88.295,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.057,1.909,1.057,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.556051,16.522,16.622,0.138,0.133,21.188,0.008,104.917,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.011,1.824,1.011,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.573694,17.643,16.700,0.155,0.169,20.246,0.010,88.267,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.947,1.709,0.947,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.590216,16.522,16.646,0.157,0.152,20.370,0.009,104.913,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.011,1.825,1.011,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.606373,16.157,16.696,0.156,0.394,20.910,0.024,88.295,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.034,1.866,1.034,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.622983,16.610,16.622,0.193,0.185,20.921,0.011,104.917,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.005,1.815,1.005,33,59,59,NA,4435,30, 47,64.176, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.640196,17.213,16.698,0.163,0.177,20.406,0.010,89.519,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.970,1.751,0.970,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.656725,16.529,16.633,0.128,0.149,20.509,0.009,106.152,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.010,1.824,1.010,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.672857,16.132,16.699,0.251,0.312,21.076,0.019,89.481,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.035,1.869,1.035,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.689527,16.670,16.639,0.166,0.159,21.046,0.010,106.120,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.002,1.808,1.002,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.706265,16.738,16.700,0.160,0.303,21.007,0.018,89.522,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.998,1.801,0.998,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.722792,16.527,16.627,0.142,0.135,21.107,0.008,106.149,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.010,1.824,1.010,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.739142,16.350,16.712,0.150,0.172,21.470,0.011,89.523,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.021,1.844,1.021,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.755661,16.519,16.614,0.103,0.132,21.565,0.008,106.137,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.011,1.825,1.011,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.772437,16.776,16.709,0.153,0.258,21.498,0.015,89.503,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.995,1.797,0.995,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.788967,16.530,16.623,0.126,0.144,21.592,0.009,106.126,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.010,1.824,1.010,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.805722,16.755,16.699,0.171,0.163,21.535,0.010,89.498,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.997,1.799,0.997,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.822278,16.556,16.630,0.110,0.130,21.609,0.008,106.128,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.009,1.821,1.009,33,59,59,NA,4435,30, 48,63.948, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.839447,17.169,16.701,0.151,0.175,21.141,0.010,89.002,2445,9001,41,54,NA,NA,NA,NA,NA,NA,0.973,1.756,0.973,33,59,59,NA,4435,30, 48,63.507, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.855986,16.539,16.633,0.140,0.134,21.235,0.008,105.635,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.010,1.823,1.010,33,59,59,NA,4435,30, 48,63.507, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,22004,0x00000255993EBE00,0,0,Composed: Flip,0,5916.872479,16.493,16.709,0.154,0.170,21.451,0.010,89.009,2445,9001,41,54,NA,NA,NA,NA,NA,NA,1.013,1.828,1.013,33,59,59,NA,4435,30, 48,63.507, 65,100,0,74,0,57,0,45,0,98,0,98,0,55,0,30,0,13,11,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
