Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,1304.670020,8.216,8.206,0.191,9.869,9.869,1.201,33.527,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.832,1.091,0.832,111,146,146,NA,4277,14, 38,42.759, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,1304.678193,8.173,8.231,0.202,9.927,9.927,1.215,33.732,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.837,1.096,0.837,111,146,146,NA,4277,14, 38,42.759, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,1304.686482,8.289,8.213,0.231,9.851,9.851,1.188,33.697,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.825,1.081,0.825,111,146,146,NA,4277,14, 38,42.759, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,1304.694858,8.376,8.232,0.241,9.707,9.707,1.159,33.697,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.816,1.070,0.816,111,146,146,NA,4277,14, 38,42.759, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,1304.703071,8.213,8.145,0.193,9.638,9.638,1.174,33.566,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.833,1.091,0.833,111,146,146,NA,4277,14, 38,42.759, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,1920x1080,D3D12,1,1316,0x000001BC8F9C9CE0,0,0,Hardware Composed: Independent Flip,0,1304.711344,8.273,8.270,0.192,9.635,9.635,1.165,33.575,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.827,1.083,0.827,111,146,146,NA,4277,14, 38,42.759, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.719707,8.362,32.858,2.972,9.422,34.131,1.127,58.216,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.818,1.072,0.818,111,146,146,NA,4277,14, 38,42.759, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.727637,7.931,8.339,0.196,10.170,34.539,1.282,58.291,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.862,1.130,0.862,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.736078,8.441,8.329,0.222,10.676,34.427,1.265,58.432,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.810,1.062,0.810,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.745539,9.460,8.335,0.187,9.713,33.302,1.027,58.567,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.723,0.947,0.723,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.753306,7.767,8.335,0.225,10.325,33.869,1.329,58.510,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.880,1.154,0.880,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.761981,8.675,8.331,0.223,10.061,33.525,1.160,57.626,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.788,1.033,0.788,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.770607,8.626,8.356,0.166,9.944,33.255,1.153,57.801,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.793,1.039,0.793,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.778826,8.219,8.319,0.170,10.338,33.354,1.258,57.573,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.832,1.090,0.832,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.787519,8.693,8.343,0.159,10.156,33.004,1.168,57.446,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.787,1.031,0.787,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.795738,8.219,8.382,0.184,10.340,33.167,1.258,57.473,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.832,1.090,0.832,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.804169,8.431,8.282,0.158,10.402,33.018,1.234,57.112,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.811,1.063,0.811,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.812870,8.701,8.320,0.145,10.084,32.636,1.159,57.043,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.786,1.030,0.786,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.821413,8.543,8.336,0.155,9.980,32.429,1.168,56.941,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.801,1.049,0.801,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.829889,8.476,8.330,0.149,10.212,32.284,1.205,56.742,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.807,1.057,0.807,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.838466,8.577,8.342,0.149,10.075,32.049,1.175,56.648,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.797,1.045,0.797,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.846757,8.292,8.327,0.147,10.257,32.084,1.237,56.438,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.825,1.081,0.825,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.855263,8.506,8.346,0.146,10.246,31.924,1.205,56.323,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.804,1.054,0.804,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.863620,8.357,8.326,0.152,10.417,31.893,1.246,56.144,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.818,1.072,0.818,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.872222,8.601,8.320,0.145,10.371,31.612,1.206,55.947,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.795,1.042,0.795,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.880829,8.608,9.187,0.153,10.189,32.191,1.184,56.710,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.794,1.041,0.794,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.889391,8.562,7.525,0.159,10.027,31.154,1.171,55.738,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.799,1.047,0.799,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.897927,8.535,8.326,0.151,10.088,30.945,1.182,55.489,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.801,1.050,0.801,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.906286,8.360,8.329,0.149,10.196,30.915,1.220,55.243,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.818,1.072,0.818,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.914976,8.689,8.328,0.151,10.022,30.554,1.153,55.077,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.787,1.031,0.787,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.923462,8.487,8.327,0.169,10.139,30.394,1.195,54.939,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.806,1.056,0.806,111,146,146,NA,4277,14, 46,44.632, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Talos2-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1316,0x000001BC8F9C9CE0,0,0,Composed: Flip,0,1304.932023,8.561,8.313,0.164,10.028,30.146,1.171,54.706,2775,9001,98,61,NA,NA,NA,NA,NA,NA,0.799,1.047,0.799,111,146,146,NA,4277,14, 38,44.789, 65,38,1,31,1,24,1,1,1,57,1,57,1,1,1,1,1,26,15,16,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
