Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,5864,0x00000137C95CFEC0,0,0,Hardware Composed: Independent Flip,0,5386.388355,33.136,33.742,0.240,10.098,10.271,0.305,62.432,1905,9001,37,44,NA,NA,NA,NA,NA,NA,0.632,1.400,0.632,21,47,47,NA,4437,27, 47,59.415, 65,100,0,71,0,49,0,44,0,98,0,98,0,25,0,13,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.421982,33.627,62.188,0.206,10.684,38.831,0.318,91.217,1905,9001,37,44,NA,NA,NA,NA,NA,NA,0.622,1.379,0.622,21,47,47,NA,4437,27, 47,59.415, 65,100,0,71,0,49,0,44,0,98,0,98,0,25,0,13,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.454976,32.994,25.039,0.238,11.888,30.876,0.360,82.870,1905,9001,37,44,NA,NA,NA,NA,NA,NA,0.634,1.406,0.634,21,47,47,NA,4437,27, 47,61.760, 65,100,0,71,0,49,0,44,0,98,0,98,0,25,0,13,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.488499,33.522,33.330,0.289,11.497,30.684,0.343,82.879,1905,9001,37,44,NA,NA,NA,NA,NA,NA,0.624,1.384,0.624,21,47,47,NA,4437,27, 47,61.760, 65,100,0,71,0,49,0,44,0,98,0,98,0,25,0,13,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.521714,33.216,33.331,0.425,11.413,30.799,0.344,82.920,1905,9001,37,44,NA,NA,NA,NA,NA,NA,0.630,1.397,0.630,21,47,47,NA,4437,27, 47,61.760, 65,100,0,71,0,49,0,44,0,98,0,98,0,25,0,13,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.555156,33.442,33.341,0.229,11.635,30.699,0.348,81.403,1905,9001,37,44,NA,NA,NA,NA,NA,NA,0.626,1.387,0.626,21,47,47,NA,4437,27, 47,61.760, 65,100,0,71,0,49,0,44,0,98,0,98,0,25,0,13,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.588437,33.281,33.351,0.210,11.376,30.769,0.342,81.431,1905,9001,37,44,NA,NA,NA,NA,NA,NA,0.629,1.394,0.629,21,47,47,NA,4437,27, 47,61.760, 65,100,0,71,0,49,0,44,0,98,0,98,0,25,0,13,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.622146,33.708,33.326,0.304,11.384,30.387,0.338,81.420,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.621,1.376,0.621,21,47,47,NA,4431,28, 47,61.760, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.654957,32.812,33.331,0.159,10.826,30.906,0.330,81.351,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.638,1.414,0.638,21,47,47,NA,4431,28, 48,61.423, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.688349,33.392,33.336,0.176,9.115,30.850,0.273,81.404,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.627,1.389,0.627,21,47,47,NA,4431,28, 48,61.423, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.721916,33.566,33.376,0.239,9.234,30.660,0.275,81.091,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.624,1.382,0.624,21,47,47,NA,4431,28, 48,61.423, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.755295,33.379,33.996,0.236,8.796,31.276,0.264,81.722,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.627,1.390,0.627,21,47,47,NA,4431,28, 48,61.423, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.788420,33.125,40.916,19.954,19.942,39.066,0.602,89.301,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.632,1.400,0.632,21,47,47,NA,4431,28, 48,61.423, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.821929,33.508,25.019,0.243,9.608,30.577,0.287,81.023,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.625,1.384,0.625,21,47,47,NA,4431,28, 48,61.423, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.855153,33.224,33.398,0.230,9.433,30.751,0.284,81.074,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.630,1.396,0.630,21,47,47,NA,4431,28, 48,56.807, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.888472,33.319,33.275,0.213,8.740,30.708,0.262,82.627,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.628,1.392,0.628,21,47,47,NA,4431,28, 48,56.807, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.921775,33.304,33.348,0.269,9.024,30.752,0.271,82.636,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.629,1.393,0.629,21,47,47,NA,4431,28, 48,56.807, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.955281,33.506,33.313,0.245,9.076,30.559,0.271,82.617,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.625,1.384,0.625,21,47,47,NA,4431,28, 48,56.807, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5386.988441,33.160,33.349,0.206,9.446,30.748,0.285,82.644,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.631,1.399,0.631,21,47,47,NA,4431,28, 48,56.807, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.021822,33.381,33.320,0.283,8.821,30.687,0.264,82.622,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.627,1.390,0.627,21,47,47,NA,4431,28, 48,56.807, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.055095,33.273,33.328,0.227,9.059,30.743,0.272,82.609,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.629,1.394,0.629,21,47,47,NA,4431,28, 48,59.721, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.088451,33.357,33.339,0.242,8.516,30.726,0.255,80.487,1905,9001,38,44,NA,NA,NA,NA,NA,NA,0.628,1.391,0.628,21,47,47,NA,4431,28, 48,59.721, 65,100,0,73,0,51,0,40,0,98,0,98,0,35,0,18,0,13,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.122024,33.572,33.336,0.191,8.806,30.490,0.262,80.494,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.621,1.373,0.621,21,47,47,NA,4428,27, 48,59.721, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.155109,33.085,33.316,0.216,8.889,30.720,0.269,80.463,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.630,1.393,0.630,21,47,47,NA,4428,27, 48,59.721, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.188327,33.218,33.332,0.181,9.227,30.833,0.278,80.468,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.628,1.388,0.628,21,47,47,NA,4428,27, 48,59.721, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.221802,33.475,33.396,0.224,8.892,30.755,0.266,80.535,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.623,1.377,0.623,21,47,47,NA,4428,27, 48,59.721, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.255069,33.267,33.304,0.178,9.217,30.792,0.277,80.495,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.627,1.386,0.627,21,47,47,NA,4428,27, 50,60.141, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.288786,33.717,33.321,0.197,8.586,30.396,0.255,80.489,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.618,1.367,0.618,21,47,47,NA,4428,27, 50,60.141, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.321844,33.058,33.326,0.196,8.923,30.664,0.270,80.490,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.631,1.394,0.631,21,47,47,NA,4428,27, 50,60.141, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.355269,33.424,33.371,0.231,8.251,30.611,0.247,80.531,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.624,1.379,0.624,21,47,47,NA,4428,27, 50,60.141, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.388661,33.392,33.278,0.220,8.928,30.497,0.267,79.155,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.624,1.380,0.624,21,47,47,NA,4428,27, 50,60.141, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.421870,33.209,33.345,0.294,8.654,30.633,0.261,79.157,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.628,1.388,0.628,21,47,47,NA,4428,27, 50,60.141, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,5387.455172,33.302,33.320,0.181,9.004,30.651,0.270,79.173,1890,9001,38,44,NA,NA,NA,NA,NA,NA,0.626,1.384,0.626,21,47,47,NA,4428,27, 50,60.141, 65,100,0,77,0,41,0,31,0,94,4,98,0,38,0,24,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
