Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Hardware Composed: Independent Flip,0,2770.156197,36.462,37.698,0.201,39.602,39.615,1.086,105.538,2745,9001,99,64,NA,NA,NA,NA,NA,NA,0.166,0.221,0.166,124,165,165,NA,4420,27, 50,59.090, 65,100,0,63,0,41,0,39,0,36,72,45,68,24,0,25,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.194178,37.982,80.151,0.196,40.206,81.784,1.059,148.382,2745,9001,99,64,NA,NA,NA,NA,NA,NA,0.159,0.212,0.159,124,165,165,NA,4420,27, 50,59.090, 65,100,0,63,0,41,0,39,0,36,72,45,68,24,0,25,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.233359,39.181,16.635,0.232,39.344,59.239,1.004,127.031,2745,9001,99,64,NA,NA,NA,NA,NA,NA,0.154,0.205,0.154,124,165,165,NA,4420,27, 50,59.090, 65,100,0,63,0,41,0,39,0,36,72,45,68,24,0,25,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.270938,37.578,41.642,0.163,44.656,63.302,1.188,130.653,2745,9001,99,64,NA,NA,NA,NA,NA,NA,0.161,0.214,0.161,124,165,165,NA,4420,27, 50,59.090, 65,100,0,63,0,41,0,39,0,36,72,45,68,24,0,25,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.309474,38.537,41.670,0.326,48.435,66.435,1.257,134.467,2745,9001,99,64,NA,NA,NA,NA,NA,NA,0.157,0.209,0.157,124,165,165,NA,4420,27, 50,64.274, 65,100,0,63,0,41,0,39,0,36,72,45,68,24,0,25,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.348506,39.032,50.000,0.166,53.257,77.403,1.364,145.412,2745,9001,99,64,NA,NA,NA,NA,NA,NA,0.155,0.206,0.155,124,165,165,NA,4420,27, 50,64.274, 65,100,0,63,0,41,0,39,0,36,72,45,68,24,0,25,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.387610,39.103,33.379,0.207,54.854,71.678,1.403,140.060,2745,9001,99,64,NA,NA,NA,NA,NA,NA,0.155,0.206,0.155,124,165,165,NA,4420,27, 50,64.274, 65,100,0,63,0,41,0,39,0,36,72,45,68,24,0,25,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.425499,37.889,50.020,0.179,58.850,83.809,1.553,151.375,2745,9001,99,64,NA,NA,NA,NA,NA,NA,0.160,0.212,0.160,124,165,165,NA,4420,27, 50,64.274, 65,100,0,63,0,41,0,39,0,36,72,45,68,24,0,25,0,12,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.465688,40.189,41.654,0.178,61.841,85.274,1.539,152.691,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.155,0.208,0.155,119,160,160,NA,4424,30, 50,64.274, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.506405,40.717,41.661,0.163,62.321,86.219,1.531,154.354,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.153,0.205,0.153,119,160,160,NA,4424,30, 50,64.274, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.548174,41.769,41.661,0.178,62.506,86.111,1.496,155.565,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.149,0.200,0.149,119,160,160,NA,4424,30, 52,62.259, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.589192,41.018,41.677,0.196,64.954,86.770,1.584,155.940,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.152,0.204,0.152,119,160,160,NA,4424,30, 52,62.259, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.629796,40.605,41.598,0.179,64.239,87.763,1.582,156.624,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.153,0.206,0.153,119,160,160,NA,4424,30, 52,62.259, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.671495,41.698,33.353,0.160,62.449,79.418,1.498,148.679,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.149,0.200,0.149,119,160,160,NA,4424,30, 52,62.259, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.713518,42.024,50.009,0.174,60.526,87.404,1.440,157.102,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.148,0.199,0.148,119,160,160,NA,4424,30, 52,62.259, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.754266,40.748,33.317,0.157,59.546,79.973,1.461,150.740,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.153,0.205,0.153,119,160,160,NA,4424,30, 51,61.733, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.796423,42.157,41.718,0.185,58.955,79.533,1.398,150.894,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.148,0.198,0.148,119,160,160,NA,4424,30, 51,61.733, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.838793,42.370,41.681,0.169,59.706,78.845,1.409,150.162,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.147,0.197,0.147,119,160,160,NA,4424,30, 51,61.733, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.879903,41.111,41.721,0.183,58.591,79.455,1.425,148.650,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.151,0.203,0.151,119,160,160,NA,4424,30, 51,61.733, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.920060,40.156,41.603,0.148,60.054,80.902,1.496,149.047,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.155,0.208,0.155,119,160,160,NA,4424,30, 51,61.733, 65,100,1,62,1,43,1,29,1,70,42,66,57,35,1,27,1,15,12,12,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2770.960581,40.522,41.597,0.160,59.957,81.977,1.480,150.412,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.152,0.203,0.152,121,162,162,NA,4414,28, 51,61.443, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.000199,39.617,41.727,0.221,60.848,84.087,1.536,151.561,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.155,0.208,0.155,121,162,162,NA,4414,28, 51,61.443, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.042131,41.932,41.663,0.185,59.740,83.818,1.425,153.002,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.147,0.196,0.147,121,162,162,NA,4414,28, 51,61.443, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.083101,40.970,41.660,0.171,60.796,84.508,1.484,153.252,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.150,0.201,0.150,121,162,162,NA,4414,28, 51,61.443, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.124372,41.270,33.337,0.177,59.741,76.574,1.448,145.835,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.149,0.200,0.149,121,162,162,NA,4414,28, 51,61.443, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.164958,40.586,41.685,0.165,60.811,77.673,1.498,144.088,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.151,0.203,0.151,121,162,162,NA,4414,28, 50,60.458, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.205477,40.519,49.970,0.211,63.469,87.124,1.566,153.453,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.152,0.203,0.152,121,162,162,NA,4414,28, 50,60.458, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.245828,40.351,41.646,0.158,66.192,88.420,1.640,154.636,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.152,0.204,0.152,121,162,162,NA,4414,28, 50,60.458, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.286178,40.350,41.660,0.184,66.609,89.730,1.651,155.875,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.152,0.204,0.152,121,162,162,NA,4414,28, 50,60.458, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.327046,40.868,41.699,0.147,66.442,90.561,1.626,156.649,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.150,0.202,0.150,121,162,162,NA,4414,28, 50,60.458, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.369272,42.226,33.349,0.185,64.404,81.684,1.525,149.041,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.146,0.195,0.146,121,162,162,NA,4414,28, 50,60.627, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.410824,41.553,41.601,0.143,64.313,81.733,1.548,151.128,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.148,0.198,0.148,121,162,162,NA,4414,28, 50,60.627, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12460,0x0000022B8B5A89B0,0,0,Composed: Flip,0,2771.452797,41.973,50.028,0.165,63.616,89.788,1.516,159.352,2760,9001,99,65,NA,NA,NA,NA,NA,NA,0.146,0.196,0.146,121,162,162,NA,4414,28, 50,60.627, 65,100,1,63,0,42,0,35,0,57,53,70,41,40,0,27,0,14,10,9,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
