Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.720406,9.737,8.358,0.115,1.433,22.971,0.147,73.661,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.647,0.858,0.647,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.730306,9.899,8.316,0.144,2.567,21.388,0.259,62.850,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.637,0.844,0.637,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.739890,9.585,8.358,0.151,1.883,20.161,0.196,71.208,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.658,0.872,0.658,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.749682,9.791,16.629,0.155,2.257,26.998,0.231,68.573,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.644,0.853,0.644,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.759306,9.624,8.398,0.148,2.418,25.772,0.251,76.971,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.655,0.868,0.655,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.768842,9.536,8.270,0.327,0.313,24.506,0.033,66.153,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.661,0.876,0.661,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.778662,9.820,8.365,0.163,2.144,23.052,0.218,74.518,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.642,0.851,0.642,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.788772,10.111,8.311,0.144,2.578,21.252,0.255,63.698,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.623,0.826,0.623,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.798441,9.669,8.343,0.214,2.028,19.926,0.210,72.041,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.652,0.864,0.652,119,158,158,NA,4328,31, 47,60.296, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.808161,9.720,16.639,0.137,2.324,26.845,0.239,69.671,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.649,0.859,0.649,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.817815,9.654,8.450,0.200,1.963,25.641,0.203,78.121,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.653,0.865,0.653,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.827850,10.035,8.210,0.135,1.601,23.816,0.160,67.399,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.628,0.832,0.628,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.837585,9.735,8.392,0.210,2.670,22.473,0.274,75.791,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.648,0.858,0.648,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.847801,10.216,8.296,0.124,2.718,20.552,0.266,65.086,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.617,0.818,0.617,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.857504,9.703,16.671,0.459,2.686,27.519,0.277,81.757,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.650,0.861,0.650,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.867632,10.128,8.324,0.161,2.769,25.715,0.273,69.776,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.622,0.825,0.622,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.877412,9.780,8.358,0.206,2.508,24.293,0.256,78.134,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.645,0.854,0.645,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.887487,10.074,8.292,0.135,2.595,22.511,0.258,67.444,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.626,0.829,0.626,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.897164,9.678,8.378,0.158,2.091,21.210,0.216,75.822,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.651,0.863,0.651,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.906776,9.612,8.334,0.119,2.597,19.932,0.270,65.202,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.656,0.869,0.656,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.916457,9.681,8.337,0.152,1.473,18.588,0.152,73.538,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.651,0.863,0.651,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.926435,9.978,16.670,0.129,2.554,25.280,0.256,70.943,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.632,0.837,0.632,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.936187,9.752,8.377,0.181,2.167,23.905,0.222,79.319,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.646,0.857,0.646,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.945727,9.540,8.236,0.122,2.716,22.600,0.285,68.108,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.661,0.876,0.661,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.955714,9.987,8.387,0.216,1.956,21.000,0.196,76.495,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.631,0.836,0.631,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.965127,9.413,8.327,0.119,2.533,19.915,0.269,65.071,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.670,0.887,0.670,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.974863,9.735,16.655,0.249,2.697,26.835,0.277,81.726,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.648,0.858,0.648,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.984756,9.893,8.287,0.146,2.771,25.228,0.280,69.994,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.637,0.844,0.637,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1537.994438,9.682,8.394,0.181,2.528,23.940,0.261,78.388,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.651,0.863,0.651,119,158,158,NA,4328,31, 49,61.818, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1538.004242,9.805,8.302,0.121,2.562,22.437,0.261,66.613,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.643,0.852,0.643,119,158,158,NA,4328,31, 46,61.992, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1538.013878,9.636,8.371,0.208,1.972,21.172,0.205,74.984,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.654,0.867,0.654,119,158,158,NA,4328,31, 46,61.992, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1538.023618,9.740,8.309,0.130,2.610,19.741,0.268,63.093,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.647,0.858,0.647,119,158,158,NA,4328,31, 46,61.992, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,1538.033223,9.605,16.758,0.262,2.907,26.894,0.303,79.851,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.656,0.870,0.656,119,158,158,NA,4328,31, 46,61.992, 65,47,22,39,21,36,20,29,20,73,31,60,34,29,17,26,15,30,23,23,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
