Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.419695,17.857,39.887,0.177,23.217,45.339,1.300,94.572,2760,9001,98,64,NA,NA,NA,NA,NA,NA,0.377,0.494,0.377,113,148,148,NA,4263,17, 37,45.999, 65,40,1,32,1,29,1,24,1,56,1,56,1,23,1,1,1,22,16,17,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.438289,18.594,16.195,0.183,24.591,42.940,1.323,94.136,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.361,0.473,0.361,113,148,148,NA,4261,15, 37,45.999, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.455461,17.171,25.018,0.176,26.746,50.786,1.558,101.454,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.391,0.512,0.391,113,148,148,NA,4261,15, 37,45.999, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.474289,18.828,16.672,0.159,27.551,48.630,1.463,100.714,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.357,0.467,0.357,113,148,148,NA,4261,15, 37,45.999, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.494006,19.717,16.633,0.227,26.577,45.546,1.348,99.310,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.340,0.446,0.340,113,148,148,NA,4261,15, 37,45.999, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.513328,19.323,16.695,0.166,25.590,42.919,1.324,96.454,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.347,0.455,0.347,113,148,148,NA,4261,15, 37,45.999, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.532127,18.799,24.983,0.169,26.773,49.104,1.424,101.970,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.357,0.468,0.357,113,148,148,NA,4261,15, 37,45.999, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.551424,19.297,16.647,0.168,26.870,46.454,1.392,98.602,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.348,0.456,0.348,113,148,148,NA,4261,15, 37,45.999, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.571071,19.647,16.706,0.166,25.951,43.513,1.321,96.656,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.342,0.448,0.342,113,148,148,NA,4261,15, 37,45.999, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.590156,19.085,24.994,0.164,26.506,49.422,1.389,102.287,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.352,0.461,0.352,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.608594,18.438,16.687,0.149,28.679,47.671,1.555,99.490,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.364,0.477,0.364,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.628461,19.867,25.033,0.161,28.803,52.837,1.450,105.512,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.338,0.443,0.338,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.649069,20.608,16.616,0.190,26.602,48.844,1.291,103.593,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.326,0.427,0.326,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.669070,20.001,16.633,0.154,25.966,45.476,1.298,100.322,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.336,0.440,0.336,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.688248,19.177,16.689,0.164,25.099,42.988,1.309,96.525,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.350,0.459,0.350,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.706532,18.285,25.057,0.182,26.399,49.760,1.444,101.586,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.367,0.481,0.367,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.724892,18.359,16.615,0.165,26.738,48.016,1.456,99.194,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.366,0.479,0.366,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.744950,20.059,16.655,0.160,25.629,44.612,1.278,97.151,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.335,0.438,0.335,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.763453,18.503,16.685,0.169,25.827,42.795,1.396,95.591,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.363,0.475,0.363,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.782041,18.588,25.028,0.163,26.303,49.235,1.415,101.490,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.361,0.473,0.361,113,148,148,NA,4261,15, 44,50.408, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.801625,19.584,16.599,0.158,26.424,46.251,1.349,98.998,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.343,0.449,0.343,113,148,148,NA,4261,15, 38,47.702, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.820315,18.690,16.691,0.160,26.261,44.251,1.405,97.078,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.359,0.470,0.359,113,148,148,NA,4261,15, 38,47.702, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.839651,19.335,25.014,0.178,26.272,49.929,1.359,102.503,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.347,0.455,0.347,113,148,148,NA,4261,15, 38,47.702, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.858251,18.601,16.648,0.148,26.501,47.976,1.425,100.688,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.361,0.473,0.361,113,148,148,NA,4261,15, 38,47.702, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.877943,19.691,16.646,0.163,25.554,44.930,1.298,97.849,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.341,0.447,0.341,113,148,148,NA,4261,15, 38,47.702, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.896217,18.274,16.704,0.167,26.102,43.361,1.428,96.101,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.367,0.481,0.367,113,148,148,NA,4261,15, 38,47.702, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.914930,18.714,25.012,0.177,26.265,49.659,1.404,101.487,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.359,0.470,0.359,113,148,148,NA,4261,15, 38,47.702, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.935023,20.093,16.672,0.161,25.678,46.239,1.278,99.112,2760,9001,97,63,NA,NA,NA,NA,NA,NA,0.334,0.438,0.334,113,148,148,NA,4261,15, 38,47.702, 65,38,0,29,0,26,0,21,0,54,0,53,0,19,0,0,0,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.952588,17.565,16.619,0.163,26.466,45.292,1.507,97.135,2760,9001,98,63,NA,NA,NA,NA,NA,NA,0.379,0.496,0.379,114,150,150,NA,4269,17, 38,47.702, 65,39,1,32,1,28,1,24,1,56,1,59,1,23,1,1,2,21,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.972352,19.763,25.070,0.157,25.707,50.599,1.301,102.450,2760,9001,98,63,NA,NA,NA,NA,NA,NA,0.337,0.441,0.337,114,150,150,NA,4269,17, 38,47.702, 65,39,1,32,1,28,1,24,1,56,1,59,1,23,1,1,2,21,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4434.990606,18.254,16.591,0.153,26.458,48.935,1.449,100.874,2760,9001,98,63,NA,NA,NA,NA,NA,NA,0.365,0.477,0.365,114,150,150,NA,4269,17, 44,47.480, 65,39,1,32,1,28,1,24,1,56,1,59,1,23,1,1,2,21,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,1344,0x000001DA65B14050,0,0,Composed: Flip,0,4435.012249,21.643,16.688,0.183,25.884,43.981,1.196,98.066,2760,9001,98,63,NA,NA,NA,NA,NA,NA,0.308,0.402,0.308,114,150,150,NA,4269,17, 44,47.480, 65,39,1,32,1,28,1,24,1,56,1,59,1,23,1,1,2,21,16,16,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
