Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13850.865976,17.044,22.798,0.254,0.443,28.069,0.026,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.504,3.856,1.504,15,39,39,NA,4453,32, 47,57.826, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13850.882574,16.598,27.179,25.573,25.556,38.650,1.540,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.544,3.959,1.544,15,39,39,NA,4453,32, 47,57.826, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13850.910807,28.232,24.999,10.833,10.817,35.417,0.383,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,0.908,2.328,0.908,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,1,13850.930439,19.632,0.000,0.217,1.336,0.000,0.068,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.305,3.347,1.305,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13850.933414,2.975,8.341,0.113,0.644,21.151,0.216,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,8.615,22.089,8.615,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13850.950578,17.164,16.661,0.112,0.252,20.647,0.015,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.493,3.829,1.493,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13850.967123,16.544,16.668,0.141,0.550,20.771,0.033,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.549,3.972,1.549,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13850.981430,14.307,16.670,0.115,0.665,23.134,0.046,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.791,4.593,1.791,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.000371,18.941,16.658,0.156,0.535,20.850,0.028,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.353,3.469,1.353,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.017007,16.636,16.674,0.098,0.235,20.889,0.014,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.541,3.950,1.541,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.033711,16.704,16.660,0.142,0.551,20.845,0.033,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.534,3.934,1.534,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.050280,16.569,16.669,0.105,0.241,20.945,0.015,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.547,3.966,1.547,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.066958,16.678,16.692,0.145,0.556,20.960,0.033,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.537,3.940,1.537,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.083555,16.597,16.649,0.140,0.263,21.012,0.016,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.544,3.959,1.544,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.100319,16.764,16.659,0.145,0.623,20.907,0.037,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.529,3.920,1.529,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.116923,16.605,16.688,0.183,0.301,20.990,0.018,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.543,3.958,1.543,15,39,39,NA,4453,32, 47,60.876, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.133336,16.413,16.650,0.142,0.539,21.227,0.033,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.561,4.004,1.561,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.149886,16.550,16.656,0.155,0.273,21.333,0.017,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.549,3.971,1.549,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.165263,15.377,16.670,0.144,0.544,22.627,0.035,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.667,4.274,1.667,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.181453,16.190,16.669,0.146,0.262,23.105,0.016,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.583,4.059,1.583,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.198585,17.132,16.658,0.137,0.548,22.631,0.032,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.496,3.836,1.496,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.214833,16.248,16.672,0.086,0.214,23.056,0.013,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.577,4.045,1.577,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.231923,17.091,16.660,0.137,0.536,22.625,0.031,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.500,3.845,1.500,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.248526,16.602,16.675,0.115,0.236,22.698,0.014,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.544,3.958,1.544,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.265256,16.730,16.656,0.137,0.540,22.623,0.032,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.532,3.928,1.532,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.281852,16.595,16.684,0.100,0.225,22.712,0.014,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.544,3.960,1.544,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.298610,16.759,16.657,0.145,0.550,22.610,0.033,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.529,3.921,1.529,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.315226,16.615,16.676,0.100,0.223,22.671,0.013,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.542,3.955,1.542,15,39,39,NA,4453,32, 46,61.109, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.332073,16.847,16.652,0.129,0.531,22.476,0.032,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.521,3.901,1.521,15,39,39,NA,4453,32, 46,59.016, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.348726,16.653,16.670,0.108,0.230,22.493,0.014,NA,1395,5001,41,51,NA,NA,NA,NA,NA,NA,1.539,3.946,1.539,15,39,39,NA,4453,32, 46,59.016, 65,100,1,82,1,70,1,68,1,99,1,99,1,69,1,1,1,12,10,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.365263,16.538,16.665,0.149,0.526,22.620,0.032,NA,1395,5001,40,51,NA,NA,NA,NA,NA,NA,1.550,3.974,1.550,15,39,39,NA,4451,31, 46,59.016, 65,100,0,77,0,78,0,60,0,99,0,99,0,77,0,0,0,10,8,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.381868,16.604,16.666,0.137,0.253,22.682,0.015,NA,1395,5001,40,51,NA,NA,NA,NA,NA,NA,1.544,3.958,1.544,15,39,39,NA,4451,31, 46,59.016, 65,100,0,77,0,78,0,60,0,99,0,99,0,77,0,0,0,10,8,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,13851.398587,16.719,16.662,0.137,0.546,22.624,0.033,NA,1395,5001,40,51,NA,NA,NA,NA,NA,NA,1.533,3.931,1.533,15,39,39,NA,4451,31, 46,59.016, 65,100,0,77,0,78,0,60,0,99,0,99,0,77,0,0,0,10,8,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
