Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,4268,0x000000002CC22C10,0,0,Hardware Composed: Independent Flip,0,73.993439,21.994,89.523,0.179,62.596,131.601,2.846,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.306,0.429,0.306,106,148,148,NA,4497,5, 44,32.540, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,1,74.014554,21.114,0.000,0.183,62.712,0.000,2.970,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.318,0.447,0.318,106,148,148,NA,4497,5, 44,32.540, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.038184,23.630,16.602,0.186,62.412,103.457,2.641,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.284,0.399,0.284,106,148,148,NA,4497,5, 44,32.540, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.059347,21.163,24.979,0.189,89.413,107.273,4.225,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.318,0.446,0.318,106,148,148,NA,4497,5, 44,32.540, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.080313,20.965,24.968,0.207,91.913,111.276,4.384,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.321,0.450,0.321,106,148,148,NA,4497,5, 44,32.540, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.104620,24.308,33.353,0.249,89.838,120.320,3.696,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.277,0.388,0.277,106,148,148,NA,4497,5, 44,32.540, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.152292,47.672,25.004,0.214,66.216,97.653,1.389,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.141,0.198,0.141,106,148,148,NA,4497,5, 37,36.597, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.175217,22.924,8.315,0.230,65.955,83.044,2.877,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.293,0.411,0.293,106,148,148,NA,4497,5, 37,36.597, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.197775,22.559,33.345,0.160,65.931,93.830,2.923,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.298,0.418,0.298,106,148,148,NA,4497,5, 37,36.597, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.221698,23.923,33.313,0.159,63.822,103.220,2.668,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.281,0.394,0.281,106,148,148,NA,4497,5, 37,36.597, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.244466,22.768,8.373,0.154,64.429,88.825,2.830,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.295,0.414,0.295,106,148,148,NA,4497,5, 37,36.597, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.266937,22.471,33.331,0.162,66.337,99.686,2.952,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.299,0.420,0.299,106,148,148,NA,4497,5, 37,36.597, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.288694,21.757,24.997,0.165,66.316,102.926,3.048,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.309,0.433,0.309,106,148,148,NA,4497,5, 37,36.597, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.312092,23.398,8.324,0.166,65.371,87.852,2.794,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.287,0.403,0.287,106,148,148,NA,4497,5, 37,36.597, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.336552,24.460,33.339,0.181,66.753,96.731,2.729,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.275,0.386,0.275,106,148,148,NA,4497,5, 44,41.817, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.358268,21.717,24.975,0.161,68.008,99.990,3.132,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.310,0.434,0.310,106,148,148,NA,4497,5, 44,41.817, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.380889,22.620,24.991,0.156,67.199,102.361,2.971,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.297,0.417,0.297,106,148,148,NA,4497,5, 44,41.817, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.406667,25.778,16.682,0.163,64.110,93.265,2.487,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.261,0.366,0.261,106,148,148,NA,4497,5, 44,41.817, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.429542,22.875,33.321,0.163,65.756,103.711,2.875,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.294,0.412,0.294,106,148,148,NA,4497,5, 44,41.817, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.451614,22.072,16.663,0.289,65.623,98.301,2.973,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.305,0.427,0.305,106,148,148,NA,4497,5, 44,41.817, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.474001,22.387,16.719,0.156,65.715,92.633,2.935,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.300,0.421,0.300,106,148,148,NA,4497,5, 44,41.817, 65,14,0,12,0,0,0,0,0,41,0,39,0,0,0,0,0,3,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.498603,24.602,33.294,0.167,66.203,101.325,2.691,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.273,0.383,0.273,106,148,148,NA,4485,8, 44,41.817, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.520464,21.861,24.986,0.155,66.333,104.449,3.034,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.307,0.431,0.307,106,148,148,NA,4485,8, 44,41.817, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.543206,22.742,8.377,0.144,66.124,90.084,2.908,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.295,0.414,0.295,106,148,148,NA,4485,8, 33,32.771, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.568247,25.041,41.650,0.148,66.231,106.692,2.645,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.268,0.376,0.268,106,148,148,NA,4485,8, 33,32.771, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.590150,21.903,16.653,0.160,66.290,101.442,3.026,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.307,0.430,0.307,106,148,148,NA,4485,8, 33,32.771, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.612547,22.396,16.675,0.175,67.323,95.720,3.006,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.300,0.421,0.300,106,148,148,NA,4485,8, 33,32.771, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.637965,25.418,33.384,0.176,65.822,103.686,2.590,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.264,0.371,0.264,106,148,148,NA,4485,8, 33,32.771, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.659604,21.639,16.607,0.188,66.098,98.655,3.055,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.310,0.435,0.310,106,148,148,NA,4485,8, 33,32.771, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.682899,23.295,16.681,0.179,65.765,92.041,2.823,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.288,0.405,0.288,106,148,148,NA,4485,8, 33,32.771, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.707316,24.417,41.644,0.177,64.166,109.269,2.628,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.275,0.386,0.275,106,148,148,NA,4485,8, 33,32.771, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.728871,21.556,16.659,0.187,65.596,104.372,3.043,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.312,0.437,0.312,106,148,148,NA,4485,8, 46,43.975, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,4268,0x000000002CC22C10,0,0,Composed: Flip,0,74.751772,22.900,8.367,0.157,65.237,89.838,2.849,NA,2760,9001,99,62,NA,NA,NA,NA,NA,NA,0.293,0.412,0.293,106,148,148,NA,4485,8, 46,43.975, 65,17,1,16,1,1,1,1,1,54,1,39,1,1,1,1,1,6,6,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
