Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,10936,0x000001BB12A441D0,0,512,Hardware Composed: Independent Flip,0,8671.895503,16.634,16.045,0.164,1.955,2.014,0.118,60.674,2775,9001,61,55,NA,NA,NA,NA,NA,NA,0.590,0.863,0.590,69,101,101,NA,4419,10, 39,34.444, 65,22,1,14,1,1,1,1,1,55,1,66,1,1,1,1,1,13,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,10936,0x000001BB12A441D0,0,512,Hardware Composed: Independent Flip,0,8671.911395,15.892,24.043,10.118,10.108,10.165,0.636,51.383,2775,9001,61,55,NA,NA,NA,NA,NA,NA,0.618,0.903,0.618,69,101,101,NA,4419,10, 39,34.444, 65,22,1,14,1,1,1,1,1,55,1,66,1,1,1,1,1,13,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,10936,0x000001BB12A441D0,0,512,Hardware Composed: Independent Flip,0,8671.938018,26.623,19.926,1.345,3.410,3.467,0.128,71.309,2775,9001,61,55,NA,NA,NA,NA,NA,NA,0.369,0.539,0.369,69,101,101,NA,4419,10, 39,34.444, 65,22,1,14,1,1,1,1,1,55,1,66,1,1,1,1,1,13,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8671.950180,12.162,82.390,0.132,0.314,73.695,0.026,120.361,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.798,1.162,0.798,70,103,103,NA,4406,9, 39,34.444, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,1,8671.966707,16.527,0.000,0.149,51.574,0.000,3.121,NA,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.587,0.855,0.587,70,103,103,NA,4406,9, 39,34.444, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.016128,49.421,16.630,0.178,3.676,24.377,0.074,104.813,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.196,0.286,0.196,70,103,103,NA,4406,9, 39,34.444, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,1,8672.032646,16.518,0.000,0.120,1.518,0.000,0.092,NA,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.587,0.855,0.587,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.039234,6.588,16.694,0.087,0.342,17.965,0.052,84.731,2775,9001,63,54,NA,NA,NA,NA,NA,NA,1.472,2.145,1.472,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.055703,16.469,16.637,0.110,1.330,18.132,0.081,101.367,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.589,0.858,0.589,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.068058,12.354,16.707,0.096,0.339,22.485,0.027,65.849,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.785,1.144,0.785,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.084571,16.514,16.630,0.191,2.522,22.601,0.153,82.478,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.587,0.856,0.587,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.101405,16.834,16.674,0.092,0.349,22.442,0.021,65.774,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.576,0.839,0.576,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.117852,16.447,16.697,0.130,2.164,22.691,0.132,82.470,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.590,0.859,0.590,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.135134,17.282,16.654,0.109,0.330,22.063,0.019,65.976,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.561,0.818,0.561,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.151619,16.485,16.638,0.125,1.761,22.216,0.107,82.614,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.588,0.857,0.588,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.167829,16.210,16.672,0.109,0.326,22.679,0.020,65.896,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.598,0.872,0.598,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.184340,16.511,16.700,0.157,1.851,22.867,0.112,82.596,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.587,0.856,0.587,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.202213,17.872,16.637,0.100,0.343,21.632,0.019,67.884,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.543,0.791,0.543,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.218676,16.463,16.671,0.102,1.811,21.840,0.110,84.555,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.589,0.858,0.589,70,103,103,NA,4406,9, 39,38.031, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.233498,14.823,16.660,0.091,0.343,23.677,0.023,68.794,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.654,0.953,0.654,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.250015,16.517,16.703,0.089,2.829,23.863,0.171,85.497,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.587,0.855,0.587,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.267951,17.936,16.630,0.093,0.341,22.557,0.019,68.120,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.541,0.788,0.541,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.284415,16.463,16.661,0.098,2.039,22.755,0.124,84.781,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.589,0.858,0.589,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.299802,15.387,16.675,0.092,0.341,24.043,0.022,69.167,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.630,0.918,0.630,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.316314,16.512,16.651,0.106,2.552,24.182,0.155,85.818,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.587,0.856,0.587,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.334100,17.786,16.676,0.108,0.326,23.072,0.018,68.100,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.545,0.794,0.545,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.350600,16.500,16.656,0.107,1.722,23.229,0.104,84.756,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.588,0.856,0.588,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.367503,16.903,16.678,0.089,0.340,23.003,0.020,67.887,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.574,0.836,0.574,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.384022,16.519,16.655,0.119,1.984,23.139,0.120,84.542,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.587,0.855,0.587,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.401184,17.162,16.691,0.097,0.342,22.668,0.020,67.737,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.565,0.823,0.565,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.417672,16.488,16.648,0.109,2.040,22.828,0.124,84.385,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.588,0.857,0.588,70,103,103,NA,4406,9, 32,33.456, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,8672.433828,16.156,16.672,0.091,0.346,23.343,0.021,67.614,2775,9001,63,54,NA,NA,NA,NA,NA,NA,0.600,0.875,0.600,70,103,103,NA,4406,9, 32,31.469, 65,19,0,11,0,0,0,0,0,56,0,66,0,0,0,0,0,12,7,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
