Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,11720,0x000001610132BAA0,0,0,Hardware Composed: Independent Flip,0,3545.037072,22.811,23.357,0.187,24.114,24.176,1.057,64.411,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.286,0.380,0.286,115,153,153,NA,4412,28, 46,60.311, 65,100,0,71,0,47,0,31,0,97,0,98,0,41,0,21,0,15,12,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,11720,0x000001610132BAA0,0,0,Hardware Composed: Independent Flip,0,3545.059720,22.648,23.084,0.192,24.589,24.612,1.086,64.238,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.288,0.383,0.288,115,153,153,NA,4412,28, 46,60.311, 65,100,0,71,0,47,0,31,0,97,0,98,0,41,0,21,0,15,12,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.083114,23.394,54.003,0.254,24.780,55.221,1.059,95.034,2775,9001,99,60,NA,NA,NA,NA,NA,NA,0.279,0.371,0.279,115,153,153,NA,4412,28, 46,60.311, 65,100,0,71,0,47,0,31,0,97,0,98,0,41,0,21,0,15,12,11,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.106489,23.375,16.723,0.220,25.674,48.568,1.098,88.529,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.281,0.373,0.281,114,152,152,NA,4404,27, 46,60.311, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.129931,23.441,24.994,0.270,28.405,50.121,1.212,90.281,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.280,0.372,0.280,114,152,152,NA,4404,27, 46,60.311, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.153130,23.199,24.993,0.306,30.840,51.915,1.329,92.146,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.283,0.376,0.283,114,152,152,NA,4404,27, 46,60.311, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.176568,23.439,24.974,0.201,33.129,53.449,1.413,93.791,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.280,0.372,0.280,114,152,152,NA,4404,27, 46,60.311, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.200256,23.688,25.006,0.172,34.978,54.767,1.477,95.534,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.277,0.368,0.277,114,152,152,NA,4404,27, 46,60.311, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.223512,23.255,24.980,0.149,37.573,56.492,1.616,97.009,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.282,0.375,0.282,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.247551,24.039,25.020,0.161,39.480,57.472,1.642,99.345,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.273,0.363,0.273,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.271766,24.215,24.999,0.221,40.901,58.256,1.689,100.377,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.271,0.360,0.271,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.296188,24.422,24.986,0.176,41.283,58.821,1.690,101.130,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.269,0.357,0.269,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.322360,26.172,25.008,0.171,40.281,57.656,1.539,101.295,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.251,0.333,0.251,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.346896,24.536,25.009,0.314,41.326,58.129,1.684,101.135,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.268,0.355,0.268,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.372464,25.569,24.993,0.169,40.366,57.554,1.579,100.825,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.257,0.341,0.257,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.397769,25.305,25.000,0.173,40.135,57.249,1.586,100.421,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.260,0.345,0.260,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.422337,24.568,33.306,0.172,41.771,65.987,1.700,108.013,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.267,0.355,0.267,114,152,152,NA,4404,27, 47,62.585, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.448224,25.886,25.003,0.206,40.222,65.104,1.554,107.003,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.254,0.337,0.254,114,152,152,NA,4404,27, 47,61.705, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.472584,24.360,16.685,0.211,40.486,57.428,1.662,98.962,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.270,0.358,0.270,114,152,152,NA,4404,27, 47,61.705, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.496776,24.192,24.993,0.201,41.425,58.229,1.712,99.374,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.272,0.360,0.272,114,152,152,NA,4404,27, 47,61.705, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.521505,24.729,25.002,0.282,41.727,58.501,1.687,99.895,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.266,0.353,0.266,114,152,152,NA,4404,27, 47,61.705, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.546998,25.493,24.989,0.284,41.041,57.997,1.610,100.137,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.258,0.342,0.258,114,152,152,NA,4404,27, 47,61.705, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.571692,24.693,33.325,0.321,41.731,66.629,1.690,108.388,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.266,0.353,0.266,114,152,152,NA,4404,27, 47,61.705, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.595543,23.852,25.014,0.161,43.493,67.792,1.823,108.497,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.275,0.366,0.275,114,152,152,NA,4404,27, 47,61.705, 65,100,0,67,0,49,0,34,0,97,0,98,0,33,0,17,0,13,9,11,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.620488,24.945,24.984,0.281,42.969,67.831,1.723,108.607,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.272,0.370,0.272,108,147,147,NA,4405,29, 47,61.705, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.645811,25.323,24.997,0.190,43.693,67.505,1.725,108.847,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.268,0.364,0.268,108,147,147,NA,4405,29, 49,60.381, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.670826,25.015,25.006,0.167,43.852,67.496,1.753,108.379,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.271,0.369,0.271,108,147,147,NA,4405,29, 49,60.381, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.695666,24.841,25.007,0.183,43.503,67.662,1.751,108.873,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.273,0.371,0.273,108,147,147,NA,4405,29, 49,60.381, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.720550,24.883,25.067,0.177,43.593,67.845,1.752,109.019,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.273,0.371,0.273,108,147,147,NA,4405,29, 49,60.381, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.745650,25.101,16.631,0.184,42.449,59.376,1.691,100.504,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.270,0.368,0.270,108,147,147,NA,4405,29, 49,60.381, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.770891,25.241,25.022,0.197,42.086,59.158,1.667,100.366,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.269,0.366,0.269,108,147,147,NA,4405,29, 49,60.381, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.796235,25.344,33.291,0.166,42.129,67.105,1.662,108.050,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.268,0.364,0.268,108,147,147,NA,4405,29, 49,60.381, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,11720,0x000001610132BAA0,0,0,Composed: Flip,0,3545.821449,25.214,16.611,0.248,41.116,58.502,1.631,99.330,2775,9001,99,59,NA,NA,NA,NA,NA,NA,0.269,0.366,0.269,108,147,147,NA,4405,29, 49,60.381, 65,100,1,69,1,55,1,41,1,97,1,99,1,39,1,24,1,16,12,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
