Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.817486,16.493,16.645,0.202,3.491,28.171,0.212,59.389,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.115,2.201,1.115,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.834665,17.179,16.694,0.201,3.913,27.685,0.228,59.436,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.071,2.113,1.071,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.852205,17.540,16.665,1.844,4.424,26.810,0.252,59.287,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.048,2.070,1.048,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.868071,15.866,16.647,0.149,3.942,27.590,0.248,53.305,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.159,2.288,1.159,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.884366,16.295,16.661,0.165,3.746,27.956,0.230,59.243,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.129,2.228,1.129,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.900853,16.487,16.690,0.162,3.873,28.159,0.235,59.058,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.115,2.202,1.115,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.917981,17.128,16.665,0.209,3.861,27.696,0.225,59.018,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.074,2.120,1.074,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.934205,16.224,16.663,0.187,3.470,28.135,0.214,59.024,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.134,2.238,1.134,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.949933,15.728,8.349,0.221,3.538,20.756,0.225,50.720,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.169,2.308,1.169,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.967445,17.512,24.987,0.168,3.609,28.231,0.206,59.005,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.050,2.073,1.050,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3709.984213,16.768,16.653,0.218,3.704,28.117,0.221,59.065,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.097,2.165,1.097,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.000824,16.611,16.674,0.168,3.498,28.180,0.211,59.082,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.107,2.186,1.107,27,54,54,NA,4314,34, 45,62.109, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.017559,16.735,16.680,0.198,3.965,28.126,0.237,59.097,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.099,2.169,1.099,27,54,54,NA,4314,34, 47,64.341, 65,40,26,39,25,39,25,34,25,49,36,73,35,31,24,30,23,33,28,28,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.034288,16.730,16.639,0.236,3.640,28.035,0.218,59.347,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.095,2.162,1.095,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.050792,16.504,16.701,0.202,3.487,28.232,0.211,59.439,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.110,2.192,1.110,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.067776,16.984,16.641,0.167,3.786,27.889,0.223,59.383,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.078,2.130,1.078,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.084405,16.629,16.665,0.161,3.517,27.926,0.211,59.331,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.102,2.175,1.102,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.100946,16.541,16.681,0.172,3.684,28.066,0.223,59.371,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.107,2.187,1.107,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.116964,16.019,16.656,0.150,3.978,28.703,0.248,59.386,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.143,2.258,1.143,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.134409,17.445,16.650,0.179,3.770,27.908,0.216,59.378,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.050,2.074,1.050,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.151171,16.761,16.688,0.146,3.779,27.834,0.225,59.427,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.093,2.158,1.093,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.167861,16.690,16.645,0.160,3.874,27.789,0.232,59.390,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.097,2.167,1.097,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.184047,16.187,16.675,0.223,3.871,28.277,0.239,59.279,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.132,2.235,1.132,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.200968,16.921,16.672,0.174,3.724,28.029,0.220,59.371,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.083,2.138,1.083,27,54,54,NA,4314,35, 47,64.341, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.217481,16.513,16.693,0.178,3.489,28.208,0.211,59.431,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.109,2.191,1.109,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.234437,16.956,16.644,0.168,3.984,27.897,0.235,60.300,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.080,2.133,1.080,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.250845,16.408,16.663,0.203,3.656,28.152,0.223,60.366,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.116,2.205,1.116,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.267499,16.654,16.675,0.177,3.400,28.172,0.204,60.318,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.100,2.172,1.100,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.284092,16.593,16.666,0.243,3.804,28.245,0.229,60.384,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.104,2.180,1.104,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.300951,16.858,16.661,0.165,3.377,28.047,0.200,60.352,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.087,2.146,1.087,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.317800,16.850,16.666,0.143,3.727,27.863,0.221,60.395,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.087,2.147,1.087,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.334496,16.696,16.664,0.211,3.354,27.832,0.201,60.350,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.097,2.167,1.097,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyberpunk2077.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17896,0x000002973D1906B0,0,512,Composed: Flip,0,3710.351406,16.910,16.675,0.184,3.927,27.597,0.232,60.376,2295,9001,41,44,NA,NA,NA,NA,NA,NA,1.083,2.139,1.083,27,54,54,NA,4314,35, 46,62.054, 65,42,27,41,26,41,26,35,25,49,41,67,40,33,24,31,24,34,29,29,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
