Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,10852,0x000001FB7E41BA60,0,0,Hardware Composed: Independent Flip,0,1774.821092,32.793,33.356,29.294,29.187,29.248,0.890,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.642,1.484,0.642,20,47,47,NA,3990,4, 28,21.560, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1774.855380,34.288,93.075,28.102,28.144,88.035,0.821,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.614,1.419,0.614,20,47,47,NA,3990,4, 28,21.560, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1774.889260,33.880,16.691,27.520,52.419,70.846,1.547,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.621,1.437,0.621,20,47,47,NA,3990,4, 28,21.560, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1774.920665,31.405,16.634,29.434,36.680,56.075,1.168,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.670,1.550,0.670,20,47,47,NA,3990,4, 28,27.356, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1774.953696,33.032,25.009,29.732,29.814,48.053,0.903,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.637,1.473,0.637,20,47,47,NA,3990,4, 28,27.356, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1774.987358,33.661,33.328,29.396,29.481,47.719,0.876,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.625,1.446,0.625,20,47,47,NA,3990,4, 28,27.356, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.020471,33.113,33.329,29.613,29.710,47.935,0.897,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.635,1.470,0.635,20,47,47,NA,3990,4, 28,27.356, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.053866,33.395,33.329,29.593,29.660,47.869,0.888,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.630,1.457,0.630,20,47,47,NA,3990,4, 28,27.356, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.087511,33.645,33.424,29.239,29.332,47.649,0.872,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.625,1.447,0.625,20,47,47,NA,3990,4, 28,27.356, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.121850,34.339,33.263,28.242,28.306,46.573,0.824,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.613,1.417,0.613,20,47,47,NA,3990,4, 28,25.667, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.155076,33.226,33.335,28.349,28.404,46.682,0.855,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.633,1.465,0.633,20,47,47,NA,3990,4, 28,25.667, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.188785,33.709,33.326,27.976,28.031,46.299,0.832,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.624,1.444,0.624,20,47,47,NA,3990,4, 28,25.667, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.222086,33.301,33.330,28.016,28.055,46.328,0.842,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.632,1.461,0.632,20,47,47,NA,3990,4, 28,25.667, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.255426,33.340,33.333,27.995,28.043,46.321,0.841,NA,1695,9001,36,43,NA,NA,NA,NA,NA,NA,0.631,1.460,0.631,20,47,47,NA,3990,4, 28,25.667, 65,4,0,0,0,0,0,0,0,25,0,7,0,0,0,0,0,13,11,12,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.288641,33.215,33.332,28.118,28.164,46.437,0.848,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.697,1.716,0.697,17,43,43,NA,4054,6, 28,25.667, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.322224,33.582,33.336,27.861,27.916,46.191,0.831,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.690,1.697,0.690,17,43,43,NA,4054,6, 28,25.667, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.354849,32.625,33.329,28.574,28.627,46.895,0.877,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.710,1.747,0.710,17,43,43,NA,4054,6, 36,22.436, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.388723,33.874,33.344,28.004,28.085,46.365,0.829,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.684,1.682,0.684,17,43,43,NA,4054,6, 36,22.436, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.422055,33.332,33.320,28.035,28.087,46.353,0.843,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.695,1.710,0.695,17,43,43,NA,4054,6, 36,22.436, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.455106,33.050,33.337,28.290,28.359,46.640,0.858,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.701,1.724,0.701,17,43,43,NA,4054,6, 36,22.436, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.488576,33.470,33.326,28.177,28.224,46.496,0.843,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.692,1.702,0.692,17,43,43,NA,4054,6, 36,22.436, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.522358,33.781,33.333,27.735,27.776,46.048,0.822,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.686,1.687,0.686,17,43,43,NA,4054,6, 36,22.436, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.555269,32.912,33.333,28.129,28.196,46.469,0.857,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.704,1.731,0.704,17,43,43,NA,4054,6, 33,22.797, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.588559,33.289,33.363,28.160,28.238,46.543,0.848,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.696,1.712,0.696,17,43,43,NA,4054,6, 33,22.797, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.622562,34.003,33.311,27.523,27.591,45.851,0.811,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.681,1.676,0.681,17,43,43,NA,4054,6, 33,22.797, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.655464,32.902,33.362,27.939,28.015,46.311,0.851,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.704,1.732,0.704,17,43,43,NA,4054,6, 33,22.797, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.688631,33.168,33.301,28.098,28.170,46.445,0.849,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.698,1.718,0.698,17,43,43,NA,4054,6, 33,22.797, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.720816,32.185,33.308,29.256,29.317,47.568,0.911,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.720,1.771,0.720,17,43,43,NA,4054,6, 33,22.797, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.753901,33.085,33.337,29.530,29.568,47.819,0.894,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.700,1.722,0.700,17,43,43,NA,4054,6, 29,23.755, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.788283,34.382,33.331,28.471,28.511,46.768,0.829,NA,1695,9001,63,44,NA,NA,NA,NA,NA,NA,0.674,1.657,0.674,17,43,43,NA,4054,6, 29,23.755, 65,5,0,5,0,0,0,0,0,36,0,15,0,0,0,0,0,17,13,14,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.821185,32.902,33.346,28.893,28.939,47.212,0.880,NA,2415,9001,63,45,NA,NA,NA,NA,NA,NA,0.528,1.053,0.528,28,57,57,NA,3938,5, 29,23.755, 65,0,3,0,0,0,0,0,0,30,0,4,0,0,0,0,0,17,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.854462,33.277,33.320,28.934,29.006,47.255,0.872,NA,2415,9001,63,45,NA,NA,NA,NA,NA,NA,0.522,1.041,0.522,28,57,57,NA,3938,5, 29,23.755, 65,0,3,0,0,0,0,0,0,30,0,4,0,0,0,0,0,17,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Control_DX12.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10852,0x000001FB7E41BA60,0,0,Composed: Flip,0,1775.887166,32.704,33.346,29.582,29.635,47.897,0.906,NA,2415,9001,63,45,NA,NA,NA,NA,NA,NA,0.531,1.059,0.531,28,57,57,NA,3938,5, 29,23.755, 65,0,3,0,0,0,0,0,0,30,0,4,0,0,0,0,0,17,14,14,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
