Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,5864,0x00000137C95CFEC0,0,0,Hardware Composed: Independent Flip,0,4808.574726,33.193,37.958,0.243,20.519,24.978,0.618,82.099,2760,9001,72,64,NA,NA,NA,NA,NA,NA,0.244,0.335,0.244,89,123,123,NA,4428,27, 46,58.249, 65,100,0,57,0,42,0,27,0,98,0,98,0,54,0,23,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.608104,33.378,68.898,3.874,21.443,60.498,0.642,117.611,2760,9001,72,64,NA,NA,NA,NA,NA,NA,0.242,0.333,0.242,89,123,123,NA,4428,27, 46,58.249, 65,100,0,57,0,42,0,27,0,98,0,98,0,54,0,23,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.641125,33.021,16.663,0.219,22.706,44.140,0.688,100.943,2760,9001,72,64,NA,NA,NA,NA,NA,NA,0.245,0.337,0.245,89,123,123,NA,4428,27, 46,58.249, 65,100,0,57,0,42,0,27,0,98,0,98,0,54,0,23,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.674688,33.563,33.342,0.249,23.118,43.919,0.689,100.103,2760,9001,72,64,NA,NA,NA,NA,NA,NA,0.241,0.331,0.241,89,123,123,NA,4428,27, 46,58.249, 65,100,0,57,0,42,0,27,0,98,0,98,0,54,0,23,0,10,9,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.707783,33.096,33.337,0.304,24.316,44.160,0.735,100.138,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.246,0.338,0.246,89,122,122,NA,4434,27, 47,62.060, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.741204,33.421,33.316,0.318,23.934,44.055,0.716,100.125,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.243,0.335,0.243,89,122,122,NA,4434,27, 47,62.060, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.774684,33.480,33.328,0.276,24.015,43.903,0.717,100.130,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.243,0.334,0.243,89,122,122,NA,4434,27, 47,62.060, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.808131,33.447,33.344,0.228,23.291,43.800,0.696,100.140,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.243,0.335,0.243,89,122,122,NA,4434,27, 47,62.060, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.841308,33.177,33.347,0.248,22.873,43.970,0.689,100.159,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.245,0.337,0.245,89,122,122,NA,4434,27, 47,62.060, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.874565,33.258,33.321,0.219,22.828,44.033,0.686,102.620,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.245,0.336,0.245,89,122,122,NA,4434,27, 47,62.060, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.907944,33.379,33.334,0.220,23.331,43.988,0.699,102.665,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.244,0.335,0.244,89,122,122,NA,4434,27, 46,59.093, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.941192,33.248,33.321,0.192,22.786,44.061,0.685,102.632,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.245,0.337,0.245,89,122,122,NA,4434,27, 46,59.093, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4808.974397,33.205,33.337,0.230,23.052,44.193,0.694,102.614,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.245,0.337,0.245,89,122,122,NA,4434,27, 46,59.093, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.007863,33.466,33.337,0.224,22.776,44.064,0.681,102.646,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.243,0.334,0.243,89,122,122,NA,4434,27, 46,59.093, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.041126,33.264,33.323,0.227,22.973,44.124,0.691,102.642,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.245,0.336,0.245,89,122,122,NA,4434,27, 46,59.093, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.074510,33.384,33.332,0.220,22.623,44.071,0.678,99.682,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.244,0.335,0.244,89,122,122,NA,4434,27, 46,59.093, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.107882,33.371,33.332,0.183,23.067,44.032,0.691,99.672,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.244,0.335,0.244,89,122,122,NA,4434,27, 46,59.705, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.141247,33.365,33.339,0.252,22.700,44.005,0.680,99.666,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.244,0.335,0.244,89,122,122,NA,4434,27, 46,59.705, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.174399,33.153,33.328,0.348,23.028,44.181,0.695,99.675,2760,9001,71,63,NA,NA,NA,NA,NA,NA,0.245,0.337,0.245,89,122,122,NA,4434,27, 46,59.705, 65,100,1,66,1,52,1,37,1,97,1,98,1,30,1,18,1,13,10,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.207997,33.598,33.333,0.227,22.625,43.916,0.673,99.692,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.227,0.316,0.227,94,131,131,NA,4421,27, 46,59.705, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.240980,32.983,33.352,0.273,23.370,44.285,0.709,99.692,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.231,0.322,0.231,94,131,131,NA,4421,27, 46,59.705, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.274565,33.584,33.323,0.245,22.945,44.023,0.683,99.690,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.227,0.316,0.227,94,131,131,NA,4421,27, 46,59.705, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.307872,33.307,33.329,0.197,22.970,44.046,0.690,99.681,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.229,0.319,0.229,94,131,131,NA,4421,27, 47,59.329, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.341308,33.436,33.335,0.209,22.697,43.944,0.679,99.659,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.228,0.318,0.228,94,131,131,NA,4421,27, 47,59.329, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.374336,33.028,33.324,0.190,23.115,44.240,0.700,101.938,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.231,0.322,0.231,94,131,131,NA,4421,27, 47,59.329, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.407999,33.663,33.328,0.219,22.663,43.905,0.673,101.954,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.226,0.316,0.226,94,131,131,NA,4421,27, 47,59.329, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.441078,33.079,33.337,0.225,23.142,44.163,0.700,101.919,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.230,0.321,0.230,94,131,131,NA,4421,27, 47,59.329, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.474710,33.632,33.332,0.184,22.568,43.862,0.671,101.937,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.227,0.316,0.227,94,131,131,NA,4421,27, 47,59.329, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.507933,33.222,33.328,0.211,23.250,43.968,0.700,101.943,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.229,0.320,0.229,94,131,131,NA,4421,27, 47,59.897, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.541469,33.536,33.361,0.215,22.793,43.793,0.680,101.964,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.227,0.317,0.227,94,131,131,NA,4421,27, 47,59.897, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.574441,32.972,33.310,0.195,23.005,44.131,0.698,101.944,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.231,0.322,0.231,94,131,131,NA,4421,27, 47,59.897, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.607928,33.487,33.335,0.190,22.732,43.979,0.679,103.046,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.228,0.317,0.228,94,131,131,NA,4421,27, 47,59.897, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AlanWake2.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,5864,0x00000137C95CFEC0,0,0,Composed: Flip,0,4809.641218,33.290,33.337,0.225,23.019,44.026,0.691,103.025,2760,9001,75,64,NA,NA,NA,NA,NA,NA,0.229,0.319,0.229,94,131,131,NA,4421,27, 47,59.897, 65,100,0,63,0,46,0,43,0,90,6,96,2,42,0,25,0,12,9,10,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
