Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,1,10732,0x0000020A11685080,0,0,Hardware Composed: Independent Flip,0,800.168972,33.161,33.223,0.204,12.268,12.268,0.370,41.997,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.329,0.481,0.329,62,91,91,NA,4299,6, 44,32.522, 65,16,0,10,0,0,0,0,0,38,0,33,0,0,0,0,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,2560x1440,D3D12,1,10732,0x0000020A11685080,0,0,Hardware Composed: Independent Flip,0,800.201975,33.003,33.037,0.196,12.302,12.302,0.373,41.699,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.331,0.484,0.331,62,91,91,NA,4299,6, 44,32.522, 65,16,0,10,0,0,0,0,0,38,0,33,0,0,0,0,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.235917,33.942,44.304,0.700,12.699,22.665,0.374,52.668,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.322,0.470,0.322,62,91,91,NA,4299,6, 44,32.522, 65,16,0,10,0,0,0,0,0,38,0,33,0,0,0,0,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.268951,33.035,33.324,0.209,12.902,22.954,0.391,52.654,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.331,0.483,0.331,62,91,91,NA,4299,6, 44,32.522, 65,16,0,10,0,0,0,0,0,38,0,33,0,0,0,0,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.302380,33.429,33.358,0.189,12.802,22.884,0.383,52.639,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.327,0.478,0.327,62,91,91,NA,4299,6, 44,32.522, 65,16,0,10,0,0,0,0,0,38,0,33,0,0,0,0,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.335871,33.490,33.293,0.196,12.765,22.686,0.381,52.599,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.326,0.477,0.326,62,91,91,NA,4299,6, 44,32.522, 65,16,0,10,0,0,0,0,0,38,0,33,0,0,0,0,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.368841,32.971,33.325,0.159,12.859,23.041,0.390,52.595,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.331,0.484,0.331,62,91,91,NA,4299,6, 48,35.782, 65,16,0,10,0,0,0,0,0,38,0,33,0,0,0,0,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.402405,33.564,33.365,0.171,12.713,22.842,0.379,52.624,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.325,0.476,0.325,62,91,91,NA,4299,6, 48,35.782, 65,16,0,10,0,0,0,0,0,38,0,33,0,0,0,0,0,12,8,7,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.435482,33.077,33.293,0.155,12.768,23.058,0.386,52.582,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.336,0.494,0.336,61,90,90,NA,4319,8, 48,35.782, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.469017,33.536,33.328,0.168,12.280,22.850,0.366,52.571,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.331,0.487,0.331,61,90,90,NA,4319,8, 48,35.782, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.502236,33.219,33.326,0.164,12.339,22.958,0.371,52.571,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.334,0.491,0.334,61,90,90,NA,4319,8, 48,35.782, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.535424,33.188,33.331,0.162,12.329,23.101,0.371,54.001,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.335,0.492,0.335,61,90,90,NA,4319,8, 48,35.782, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.568573,33.148,33.320,0.205,12.363,23.273,0.373,53.986,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.335,0.492,0.335,61,90,90,NA,4319,8, 48,35.782, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.602484,33.911,33.340,0.170,12.273,22.701,0.362,53.987,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.327,0.481,0.327,61,90,90,NA,4319,8, 45,33.738, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.635539,33.055,33.347,0.175,12.350,22.992,0.374,54.006,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.336,0.494,0.336,61,90,90,NA,4319,8, 45,33.738, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.668639,33.100,33.300,0.175,12.401,23.192,0.375,53.972,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.335,0.493,0.335,61,90,90,NA,4319,8, 45,33.738, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.702201,33.562,33.324,0.210,12.288,22.954,0.366,53.955,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.331,0.486,0.331,61,90,90,NA,4319,8, 45,33.738, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.735455,33.254,33.326,0.162,12.290,23.026,0.370,53.215,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.334,0.491,0.334,61,90,90,NA,4319,8, 45,33.738, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.768548,33.092,33.323,0.177,12.411,23.256,0.375,53.205,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.336,0.493,0.336,61,90,90,NA,4319,8, 45,33.738, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.802318,33.770,33.337,0.170,12.241,22.823,0.362,53.210,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.329,0.483,0.329,61,90,90,NA,4319,8, 44,33.547, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.835192,32.874,33.321,0.178,12.274,23.271,0.373,53.196,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.338,0.497,0.338,61,90,90,NA,4319,8, 44,33.547, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.868515,33.324,33.368,0.167,12.325,23.314,0.370,53.229,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.333,0.490,0.333,61,90,90,NA,4319,8, 44,33.547, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.902218,33.703,33.318,0.171,12.276,22.930,0.364,53.403,2775,9001,45,54,NA,NA,NA,NA,NA,NA,0.329,0.484,0.329,61,90,90,NA,4319,8, 44,33.547, 65,19,1,13,1,1,1,1,1,40,1,32,1,1,1,1,1,12,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.935299,33.081,33.289,0.164,12.228,23.138,0.370,53.362,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.336,0.493,0.336,61,90,90,NA,4326,7, 44,33.547, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,800.968501,33.203,33.365,0.179,12.325,23.301,0.371,53.393,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.334,0.492,0.334,61,90,90,NA,4326,7, 44,33.547, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,801.002469,33.968,33.297,0.169,12.249,22.629,0.361,53.355,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.327,0.481,0.327,61,90,90,NA,4326,7, 50,32.076, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,801.035679,33.210,33.352,0.179,12.424,22.772,0.374,52.155,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.334,0.492,0.334,61,90,90,NA,4326,7, 50,32.076, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,801.068955,33.276,33.294,0.165,12.217,22.791,0.367,52.117,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.334,0.491,0.334,61,90,90,NA,4326,7, 50,32.076, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,801.102038,33.084,33.356,0.174,12.325,23.063,0.373,52.135,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.336,0.493,0.336,61,90,90,NA,4326,7, 50,32.076, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,801.135551,33.513,33.298,0.165,12.168,22.848,0.363,52.698,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.331,0.487,0.331,61,90,90,NA,4326,7, 50,32.076, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,801.168851,33.300,33.358,0.178,12.414,22.906,0.373,52.722,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.333,0.490,0.333,61,90,90,NA,4326,7, 50,32.076, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RoboCop-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10732,0x0000020A11685080,0,0,Composed: Flip,0,801.202862,34.011,33.293,0.187,12.236,22.188,0.360,52.681,2775,9001,47,54,NA,NA,NA,NA,NA,NA,0.326,0.480,0.326,61,90,90,NA,4326,7, 50,32.076, 65,17,0,14,0,0,0,0,0,41,0,37,0,0,0,0,0,11,8,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
