Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022023493390,0,512,Hardware Composed: Independent Flip,0,6232.521827,15.793,15.444,12.300,13.295,13.313,0.842,41.528,2775,9001,90,64,NA,NA,NA,NA,NA,NA,0.450,0.599,0.450,105,140,140,NA,4263,21, 35,51.751, 65,28,21,24,20,21,19,19,18,27,33,31,30,23,4,23,0,24,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022023493390,0,512,Hardware Composed: Independent Flip,0,6232.538707,16.881,16.765,12.058,13.094,13.197,0.776,41.640,2775,9001,90,64,NA,NA,NA,NA,NA,NA,0.421,0.560,0.421,105,140,140,NA,4263,21, 35,51.751, 65,28,21,24,20,21,19,19,18,27,33,31,30,23,4,23,0,24,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022023493390,0,512,Hardware Composed: Independent Flip,0,6232.556179,17.472,18.037,11.248,13.446,13.763,0.770,43.024,2775,9001,90,64,NA,NA,NA,NA,NA,NA,0.407,0.541,0.407,105,140,140,NA,4263,21, 41,51.261, 65,28,21,24,20,21,19,19,18,27,33,31,30,23,4,23,0,24,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,12568,0x0000022023493390,0,512,Hardware Composed: Independent Flip,0,6232.572379,16.200,66.870,14.629,14.617,64.434,0.902,93.218,2775,9001,90,64,NA,NA,NA,NA,NA,NA,0.439,0.584,0.439,105,140,140,NA,4263,21, 41,51.261, 65,28,21,24,20,21,19,19,18,27,33,31,30,23,4,23,0,24,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.590852,18.473,8.309,10.030,12.961,54.270,0.702,85.156,2775,9001,90,64,NA,NA,NA,NA,NA,NA,0.385,0.512,0.385,105,140,140,NA,4263,21, 41,51.261, 65,28,21,24,20,21,19,19,18,27,33,31,30,23,4,23,0,24,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.605705,14.853,16.668,11.729,31.431,56.085,2.116,80.223,2775,9001,90,64,NA,NA,NA,NA,NA,NA,0.479,0.637,0.479,105,140,140,NA,4263,21, 41,51.261, 65,28,21,24,20,21,19,19,18,27,33,31,30,23,4,23,0,24,20,21,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.622425,16.720,16.665,11.654,31.838,56.030,1.904,84.824,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.424,0.563,0.424,106,141,141,NA,4272,21, 41,51.261, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.642403,19.978,24.942,8.365,28.489,60.995,1.426,93.490,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.354,0.471,0.354,106,141,141,NA,4272,21, 41,51.261, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.658639,16.236,16.671,8.792,26.908,61.430,1.657,90.339,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.436,0.580,0.436,106,141,141,NA,4272,21, 41,51.261, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.675549,16.910,8.382,8.559,25.793,52.902,1.525,81.648,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.419,0.557,0.419,106,141,141,NA,4272,21, 41,51.261, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.690900,15.351,8.279,9.872,28.155,45.829,1.834,73.360,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.461,0.613,0.461,106,141,141,NA,4272,21, 41,51.261, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.706702,15.802,24.996,10.708,28.766,55.023,1.820,83.657,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.448,0.596,0.448,106,141,141,NA,4272,21, 41,51.261, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.723862,17.159,25.066,10.238,28.107,62.929,1.638,93.040,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.413,0.549,0.413,106,141,141,NA,4272,21, 41,51.261, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,1,6232.740790,16.928,0.000,10.075,25.477,0.000,1.505,NA,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.418,0.556,0.418,106,141,141,NA,4272,21, 41,51.261, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.757177,16.387,16.611,10.266,26.997,46.226,1.647,75.413,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.432,0.574,0.432,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.772874,15.697,24.976,11.202,26.804,55.505,1.708,83.993,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.451,0.600,0.451,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.788992,16.118,25.081,11.815,26.284,64.468,1.631,93.509,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.439,0.584,0.439,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,1,6232.806148,17.156,0.000,11.268,24.886,0.000,1.451,NA,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.413,0.549,0.413,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.822832,16.684,16.666,11.257,26.589,47.293,1.594,76.515,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.424,0.564,0.424,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.839656,16.824,16.599,11.119,26.108,47.069,1.552,76.568,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.421,0.560,0.421,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.856030,16.374,24.988,11.435,24.483,55.683,1.495,84.846,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.432,0.575,0.432,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.872542,16.513,16.669,11.546,25.183,55.839,1.525,84.965,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.429,0.570,0.429,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.889697,17.155,16.721,11.038,24.063,55.405,1.403,84.852,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.413,0.549,0.413,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.906341,16.643,8.303,11.076,25.191,47.064,1.514,76.614,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.425,0.566,0.425,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.922172,15.831,33.385,11.923,25.871,64.618,1.634,93.294,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.447,0.595,0.447,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.939457,17.285,8.251,11.296,24.091,55.584,1.394,84.844,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.410,0.545,0.410,106,141,141,NA,4272,21, 37,57.562, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.956339,16.882,16.671,11.078,23.735,55.374,1.406,84.832,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.419,0.558,0.419,106,141,141,NA,4272,21, 38,53.731, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.972846,16.508,16.731,11.263,22.783,55.597,1.380,84.948,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.429,0.570,0.429,106,141,141,NA,4272,21, 38,53.731, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6232.988901,16.055,8.274,11.825,24.076,47.816,1.500,76.602,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.441,0.586,0.441,106,141,141,NA,4272,21, 38,53.731, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6233.005771,16.869,16.685,11.657,23.604,47.632,1.399,76.577,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.420,0.558,0.420,106,141,141,NA,4272,21, 38,53.731, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6233.022686,16.915,24.983,11.396,22.862,55.700,1.352,84.905,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.419,0.557,0.419,106,141,141,NA,4272,21, 38,53.731, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6233.039662,16.976,16.660,11.064,23.524,55.384,1.386,84.922,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.417,0.555,0.417,106,141,141,NA,4272,21, 38,53.731, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Starfield.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,12568,0x0000022023493390,0,512,Composed: Flip,0,6233.055694,16.032,8.337,11.706,22.662,47.689,1.414,76.559,2775,9001,93,64,NA,NA,NA,NA,NA,NA,0.442,0.587,0.442,106,141,141,NA,4272,21, 38,53.731, 65,27,22,24,20,22,19,19,16,29,29,32,30,20,15,22,0,24,20,20,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
