Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.715165,16.612,24.959,0.117,2.403,26.016,0.145,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.611,0.920,0.611,65,98,98,NA,4454,31, 46,57.085, 65,100,1,86,1,75,1,61,1,99,1,99,1,48,1,1,1,10,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.731877,16.712,8.359,0.198,0.189,17.662,0.011,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.608,0.915,0.608,65,98,98,NA,4454,31, 46,57.085, 65,100,1,86,1,75,1,61,1,99,1,99,1,48,1,1,1,10,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.748552,16.675,25.018,0.149,2.307,26.004,0.138,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.609,0.917,0.609,65,98,98,NA,4454,31, 46,56.964, 65,100,1,86,1,75,1,61,1,99,1,99,1,48,1,1,1,10,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.765256,16.703,8.334,0.172,0.164,17.635,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.608,0.915,0.608,65,98,98,NA,4454,31, 46,56.964, 65,100,1,86,1,75,1,61,1,99,1,99,1,48,1,1,1,10,9,9,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.781870,16.614,24.957,0.147,2.364,25.978,0.142,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.612,0.921,0.612,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.798593,16.723,8.475,0.147,0.161,17.730,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.608,0.915,0.608,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.815210,16.617,24.883,0.126,2.352,25.996,0.142,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.611,0.920,0.611,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.831987,16.777,8.334,0.133,0.163,17.553,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.606,0.912,0.606,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.848547,16.559,24.973,0.118,2.322,25.967,0.140,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.614,0.924,0.614,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.865241,16.694,8.348,0.141,0.163,17.620,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.609,0.916,0.609,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.881838,16.597,24.985,0.130,2.371,26.008,0.143,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.612,0.922,0.612,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.898595,16.757,8.353,0.144,0.166,17.604,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.606,0.913,0.606,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.915169,16.574,24.968,0.123,2.372,25.998,0.143,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.613,0.923,0.613,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.931905,16.736,8.386,0.136,0.164,17.648,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.607,0.914,0.607,65,98,98,NA,4450,29, 46,56.964, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.948469,16.564,24.948,0.105,2.410,26.032,0.145,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.613,0.923,0.613,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.965298,16.829,8.370,0.154,0.165,17.572,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.604,0.909,0.604,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.981872,16.574,25.022,0.100,2.320,26.020,0.140,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.613,0.923,0.613,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,97.998622,16.750,8.362,0.173,0.164,17.633,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.607,0.913,0.607,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.015247,16.625,24.966,0.143,2.367,25.974,0.142,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.611,0.920,0.611,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.031970,16.723,8.315,0.172,0.164,17.565,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.608,0.915,0.608,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.048573,16.602,24.982,0.114,2.318,25.945,0.140,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.612,0.921,0.612,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.065276,16.703,8.347,0.132,0.162,17.589,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.608,0.916,0.608,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.081837,16.561,24.985,0.112,2.387,26.013,0.144,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.614,0.924,0.614,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.098618,16.781,8.354,0.146,0.162,17.585,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.606,0.911,0.606,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.115197,16.579,24.968,0.106,2.357,25.974,0.142,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.613,0.923,0.613,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.131788,16.590,8.360,0.185,0.178,17.743,0.011,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.612,0.922,0.612,65,98,98,NA,4450,29, 48,61.708, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.148410,16.623,24.974,0.170,2.433,26.095,0.146,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.611,0.920,0.611,65,98,98,NA,4450,29, 47,60.041, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.165303,16.893,8.357,0.232,0.215,17.559,0.013,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.602,0.905,0.602,65,98,98,NA,4450,29, 47,60.041, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.181999,16.695,24.971,0.116,2.195,25.835,0.131,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.609,0.916,0.609,65,98,98,NA,4450,29, 47,60.041, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.198433,16.434,8.398,0.130,0.162,17.798,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.618,0.931,0.618,65,98,98,NA,4450,29, 47,60.041, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.214990,16.557,24.947,0.117,2.547,26.187,0.154,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.614,0.924,0.614,65,98,98,NA,4450,29, 47,60.041, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.231907,16.916,8.363,0.139,0.164,17.634,0.010,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.601,0.904,0.601,65,98,98,NA,4450,29, 47,60.041, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,98.248477,16.570,24.972,0.101,2.388,26.036,0.144,NA,2790,9001,58,55,NA,NA,NA,NA,NA,NA,0.613,0.923,0.613,65,98,98,NA,4450,29, 47,60.041, 65,100,0,84,0,73,0,54,0,99,0,99,0,56,0,0,0,7,6,8,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
