Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,18612,0x0000000A8F56F140,0,0,Hardware Composed: Independent Flip,0,10887.475407,33.279,33.323,0.182,12.009,12.069,0.361,NA,1875,9001,41,52,NA,NA,NA,NA,NA,NA,0.604,1.332,0.604,22,49,49,NA,4550,26, 46,54.162, 65,100,0,74,0,80,0,52,0,99,0,99,0,0,0,0,0,7,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,18612,0x0000000A8F56F140,0,0,Hardware Composed: Independent Flip,0,10887.508765,33.357,33.285,0.205,11.919,11.997,0.357,NA,1875,9001,41,52,NA,NA,NA,NA,NA,NA,0.603,1.328,0.603,22,49,49,NA,4550,26, 46,54.162, 65,100,0,74,0,80,0,52,0,99,0,99,0,0,0,0,0,7,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,18612,0x0000000A8F56F140,0,0,Hardware Composed: Independent Flip,0,10887.542083,33.319,87.425,4.558,12.013,66.103,0.361,NA,1875,9001,41,52,NA,NA,NA,NA,NA,NA,0.603,1.330,0.603,22,49,49,NA,4550,26, 48,56.694, 65,100,0,74,0,80,0,52,0,99,0,99,0,0,0,0,0,7,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.575427,33.344,16.632,0.164,11.361,49.392,0.341,NA,1875,9001,41,52,NA,NA,NA,NA,NA,NA,0.603,1.329,0.603,22,49,49,NA,4550,26, 48,56.694, 65,100,0,74,0,80,0,52,0,99,0,99,0,0,0,0,0,7,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.608756,33.328,16.657,0.170,13.271,32.720,0.398,NA,1875,9001,41,52,NA,NA,NA,NA,NA,NA,0.603,1.330,0.603,22,49,49,NA,4550,26, 48,56.694, 65,100,0,74,0,80,0,52,0,99,0,99,0,0,0,0,0,7,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.642074,33.319,33.340,0.184,13.486,32.742,0.405,NA,1875,9001,41,52,NA,NA,NA,NA,NA,NA,0.603,1.330,0.603,22,49,49,NA,4550,26, 48,56.694, 65,100,0,74,0,80,0,52,0,99,0,99,0,0,0,0,0,7,4,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.675431,33.357,33.328,0.258,12.888,32.713,0.386,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.332,0.604,22,49,49,NA,4552,28, 48,56.694, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.708740,33.309,33.329,0.162,13.089,32.733,0.393,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.605,1.334,0.605,22,49,49,NA,4552,28, 48,56.694, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.742083,33.343,33.392,0.153,12.855,32.782,0.386,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.332,0.604,22,49,49,NA,4552,28, 45,57.315, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.775474,33.391,33.280,0.189,11.379,32.672,0.341,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.330,0.604,22,49,49,NA,4552,28, 45,57.315, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.808729,33.255,33.329,0.151,11.342,32.745,0.341,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.606,1.336,0.606,22,49,49,NA,4552,28, 45,57.315, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.842071,33.342,33.338,0.163,11.324,32.741,0.340,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.332,0.604,22,49,49,NA,4552,28, 45,57.315, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.875410,33.339,33.334,0.155,11.305,32.737,0.339,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.332,0.604,22,49,49,NA,4552,28, 45,57.315, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.908728,33.319,33.325,0.164,11.295,32.743,0.339,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.605,1.333,0.605,22,49,49,NA,4552,28, 45,57.315, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.942072,33.344,33.329,0.149,11.207,32.728,0.336,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.332,0.604,22,49,49,NA,4552,28, 47,54.988, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10887.975399,33.327,33.332,0.165,10.752,32.733,0.323,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.605,1.333,0.605,22,49,49,NA,4552,28, 47,54.988, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.008759,33.360,33.333,0.175,10.733,32.706,0.322,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.331,0.604,22,49,49,NA,4552,28, 47,54.988, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.042067,33.307,33.335,0.160,10.743,32.733,0.323,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.605,1.334,0.605,22,49,49,NA,4552,28, 47,54.988, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.075417,33.350,33.339,0.157,10.738,32.722,0.322,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.332,0.604,22,49,49,NA,4552,28, 47,54.988, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.108740,33.323,33.332,0.165,10.774,32.731,0.323,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.605,1.333,0.605,22,49,49,NA,4552,28, 47,54.988, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.142058,33.318,33.329,0.155,10.730,32.742,0.322,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.605,1.333,0.605,22,49,49,NA,4552,28, 46,54.055, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.175430,33.372,33.329,0.158,10.491,32.698,0.314,NA,1860,9001,33,52,NA,NA,NA,NA,NA,NA,0.604,1.331,0.604,22,49,49,NA,4552,28, 46,54.055, 65,100,1,82,1,80,1,48,1,99,1,99,1,1,1,1,1,10,7,8,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.208757,33.327,33.340,0.149,10.480,32.712,0.314,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.334,0.604,22,49,49,NA,4479,28, 46,54.055, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.242086,33.330,33.328,0.185,10.518,32.711,0.316,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.334,0.604,22,49,49,NA,4479,28, 46,54.055, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.275440,33.354,33.338,0.155,10.676,32.695,0.320,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.333,0.604,22,49,49,NA,4479,28, 46,54.055, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.308778,33.337,33.329,0.161,10.483,32.687,0.314,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.334,0.604,22,49,49,NA,4479,28, 46,54.055, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.342093,33.315,33.334,0.153,10.425,32.705,0.313,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.335,0.604,22,49,49,NA,4479,28, 47,55.262, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.375435,33.342,33.328,0.163,10.355,32.691,0.311,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.334,0.604,22,49,49,NA,4479,28, 47,55.262, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.408736,33.301,33.333,0.149,10.347,32.723,0.311,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.605,1.335,0.605,22,49,49,NA,4479,28, 47,55.262, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.442079,33.343,33.331,0.163,10.361,32.711,0.311,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.333,0.604,22,49,49,NA,4479,28, 47,55.262, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.475433,33.354,33.336,0.153,10.559,32.694,0.317,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.333,0.604,22,49,49,NA,4479,28, 47,55.262, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.508752,33.320,33.326,0.156,10.354,32.701,0.311,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.334,0.604,22,49,49,NA,4479,28, 47,55.262, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,10888.542078,33.325,33.339,0.151,10.355,32.714,0.311,NA,1860,9001,42,53,NA,NA,NA,NA,NA,NA,0.604,1.334,0.604,22,49,49,NA,4479,28, 45,54.670, 65,100,0,78,0,69,0,63,0,99,0,99,0,26,0,0,0,8,5,7,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
