Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7899.880999,16.036,16.686,0.205,7.698,17.801,0.480,63.798,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.539,0.749,0.539,83,115,115,NA,4187,11, 33,35.632, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7899.897503,16.504,16.695,0.185,7.679,17.992,0.465,62.894,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.523,0.728,0.523,83,115,115,NA,4187,11, 33,35.632, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7899.914800,17.297,16.663,0.181,7.351,17.357,0.425,62.810,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.499,0.694,0.499,83,115,115,NA,4187,11, 33,35.632, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7899.931413,16.613,16.641,0.199,7.312,17.385,0.440,62.953,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.520,0.723,0.520,83,115,115,NA,4187,11, 33,35.632, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7899.947519,16.105,16.694,0.258,8.035,17.974,0.499,62.864,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.536,0.746,0.536,83,115,115,NA,4187,11, 33,35.632, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7899.966212,18.694,16.630,4.199,6.170,15.910,0.330,62.864,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.462,0.643,0.462,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7899.982993,16.781,16.700,0.133,5.669,15.829,0.338,62.736,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.515,0.716,0.515,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7899.997700,14.707,16.664,0.153,8.546,17.786,0.581,62.579,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.587,0.817,0.587,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.014378,16.678,16.667,0.192,7.825,17.775,0.469,60.946,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.518,0.720,0.518,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.030817,16.439,16.623,0.215,8.197,17.960,0.499,60.913,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.525,0.731,0.525,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.047654,16.837,16.678,0.436,8.231,17.800,0.489,60.969,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.513,0.713,0.513,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.064384,16.730,16.651,0.339,7.905,17.722,0.473,61.024,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.516,0.718,0.516,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.081150,16.766,16.685,0.177,7.976,17.641,0.476,61.073,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.515,0.716,0.515,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.098061,16.912,16.700,0.162,7.846,17.430,0.464,61.055,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.511,0.710,0.511,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.114570,16.508,16.631,0.186,7.712,17.552,0.467,61.100,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.523,0.728,0.523,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.131046,16.477,16.694,0.245,8.309,17.770,0.504,60.949,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.524,0.729,0.524,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.147863,16.817,16.625,0.162,7.987,17.578,0.475,60.997,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.514,0.714,0.514,83,115,115,NA,4187,11, 43,37.254, 65,28,1,25,1,1,1,1,1,45,1,36,1,1,1,1,1,24,18,18,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.164517,16.653,16.710,0.224,7.747,17.635,0.465,61.129,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.518,0.721,0.518,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.181350,16.834,16.622,0.157,7.895,17.423,0.469,60.969,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.513,0.713,0.513,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.197978,16.628,16.706,0.183,7.819,17.501,0.470,61.104,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.519,0.722,0.519,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.214411,16.434,16.663,0.205,7.860,17.731,0.478,61.099,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.525,0.730,0.525,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.230910,16.499,16.668,0.213,7.873,17.900,0.477,60.722,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.523,0.728,0.523,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.248263,17.353,16.667,0.340,7.152,17.215,0.412,60.969,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.497,0.692,0.497,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.264299,16.036,16.661,0.172,7.641,17.839,0.476,60.953,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.538,0.749,0.538,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.281383,17.083,16.672,0.223,7.365,17.428,0.431,61.476,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.505,0.703,0.505,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.297304,15.921,16.627,0.183,8.140,18.134,0.511,61.492,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.542,0.754,0.542,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.314766,17.462,16.662,0.291,7.501,17.334,0.430,61.520,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.494,0.687,0.494,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.331192,16.426,16.673,0.200,7.740,17.581,0.471,61.462,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.525,0.731,0.525,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.347224,16.032,16.704,0.189,7.964,18.253,0.497,61.473,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.538,0.749,0.538,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.364700,17.476,16.627,0.175,7.246,17.405,0.415,61.556,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.494,0.687,0.494,83,115,115,NA,4189,9, 33,38.900, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.380711,16.012,16.714,0.198,7.722,18.107,0.482,61.526,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.539,0.750,0.539,83,115,115,NA,4189,9, 32,35.834, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
U01-Win64-Shipping.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,10936,0x000001BB12A441D0,0,512,Composed: Flip,0,7900.398263,17.552,16.620,0.193,7.272,17.175,0.414,61.445,2775,9001,60,55,NA,NA,NA,NA,NA,NA,0.492,0.684,0.492,83,115,115,NA,4189,9, 32,35.834, 65,26,0,22,0,0,0,0,0,41,0,34,0,0,0,0,0,22,15,15,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
