Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.507580,33.338,33.374,0.152,9.215,31.112,0.276,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.443,0.610,20,49,49,NA,4535,26, 46,54.285, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.540881,33.301,33.307,0.151,9.319,31.118,0.280,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.611,1.445,0.611,20,49,49,NA,4535,26, 46,54.285, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.574209,33.328,33.326,0.159,9.261,31.115,0.278,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.444,0.610,20,49,49,NA,4535,26, 46,54.285, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.607563,33.354,33.321,9.555,9.540,31.082,0.286,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.443,0.610,20,49,49,NA,4535,26, 46,54.285, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.640883,33.320,33.328,0.157,9.411,31.090,0.282,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.444,0.610,20,49,49,NA,4535,26, 46,57.441, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.674203,33.320,33.340,0.147,9.303,31.110,0.279,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.444,0.610,20,49,49,NA,4535,26, 46,57.441, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.707539,33.336,33.339,0.174,9.377,31.113,0.281,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.444,0.610,20,49,49,NA,4535,26, 46,57.441, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.740879,33.340,33.328,0.156,9.370,31.101,0.281,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.443,0.610,20,49,49,NA,4535,26, 46,57.441, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.774230,33.351,33.330,0.164,9.370,31.080,0.281,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.443,0.610,20,49,49,NA,4535,26, 46,57.441, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.807529,33.299,33.359,0.149,9.396,31.140,0.282,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.611,1.445,0.611,20,49,49,NA,4535,26, 46,57.441, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.840904,33.375,33.305,0.174,9.361,31.070,0.280,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.609,1.442,0.609,20,49,49,NA,4535,26, 47,55.023, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.874199,33.295,33.338,0.152,9.386,31.113,0.282,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.611,1.445,0.611,20,49,49,NA,4535,26, 47,55.023, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.907530,33.331,33.333,0.155,9.380,31.115,0.281,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.444,0.610,20,49,49,NA,4535,26, 47,55.023, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.940861,33.330,33.330,0.145,9.362,31.115,0.281,NA,1875,9001,36,54,NA,NA,NA,NA,NA,NA,0.610,1.444,0.610,20,49,49,NA,4535,26, 47,55.023, 65,100,0,75,0,79,0,57,0,99,0,99,0,0,0,0,0,10,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9491.974186,33.326,33.328,0.148,9.349,31.117,0.281,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.488,0.614,20,48,48,NA,4539,28, 47,55.023, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.007527,33.340,33.334,0.146,9.384,31.110,0.281,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.487,0.614,20,48,48,NA,4539,28, 47,55.023, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.040886,33.359,33.331,0.169,9.226,31.082,0.277,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.486,0.614,20,48,48,NA,4539,28, 45,54.759, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.074248,33.362,33.342,0.226,9.328,31.062,0.280,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.486,0.614,20,48,48,NA,4539,28, 45,54.759, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.107522,33.274,33.331,0.154,9.381,31.119,0.282,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.615,1.490,0.615,20,48,48,NA,4539,28, 45,54.759, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.140872,33.351,33.332,0.147,9.356,31.100,0.281,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.487,0.614,20,48,48,NA,4539,28, 45,54.759, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.174183,33.310,33.330,0.151,9.403,31.119,0.282,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.615,1.488,0.615,20,48,48,NA,4539,28, 45,54.759, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.207521,33.338,33.330,0.147,9.386,31.111,0.282,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.487,0.614,20,48,48,NA,4539,28, 45,54.759, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.240863,33.342,33.332,0.158,11.261,31.101,0.338,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.487,0.614,20,48,48,NA,4539,28, 46,54.217, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.274186,33.324,33.342,0.151,11.220,31.119,0.337,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.488,0.614,20,48,48,NA,4539,28, 46,54.217, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.307521,33.335,33.332,0.182,11.089,31.115,0.333,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.487,0.614,20,48,48,NA,4539,28, 46,54.217, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.340867,33.346,33.325,0.148,11.018,31.095,0.330,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.487,0.614,20,48,48,NA,4539,28, 46,54.217, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.374186,33.319,33.333,0.151,11.051,31.109,0.332,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.488,0.614,20,48,48,NA,4539,28, 46,54.217, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.407522,33.337,33.332,0.145,11.022,31.104,0.331,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.487,0.614,20,48,48,NA,4539,28, 46,54.217, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.440868,33.346,33.330,0.156,8.277,31.089,0.248,NA,1650,9001,39,54,NA,NA,NA,NA,NA,NA,0.614,1.487,0.614,20,48,48,NA,4539,28, 47,54.188, 65,100,1,78,1,75,1,65,1,99,1,99,1,4,1,1,1,13,8,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.474179,33.311,33.344,0.141,8.448,31.121,0.254,NA,1635,9001,42,55,NA,NA,NA,NA,NA,NA,0.608,1.480,0.608,20,49,49,NA,4525,27, 47,54.188, 65,100,0,87,0,94,0,29,0,99,0,99,0,0,0,0,0,11,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.507529,33.349,33.333,0.155,8.421,31.105,0.253,NA,1635,9001,42,55,NA,NA,NA,NA,NA,NA,0.608,1.479,0.608,20,49,49,NA,4525,27, 47,54.188, 65,100,0,87,0,94,0,29,0,99,0,99,0,0,0,0,0,11,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.540879,33.350,33.325,0.155,8.409,31.080,0.252,NA,1635,9001,42,55,NA,NA,NA,NA,NA,NA,0.608,1.479,0.608,20,49,49,NA,4525,27, 47,54.188, 65,100,0,87,0,94,0,29,0,99,0,99,0,0,0,0,0,11,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,9492.574187,33.308,33.331,0.155,8.449,31.104,0.254,NA,1635,9001,42,55,NA,NA,NA,NA,NA,NA,0.608,1.481,0.608,20,49,49,NA,4525,27, 47,54.188, 65,100,0,87,0,94,0,29,0,99,0,99,0,0,0,0,0,11,4,6,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
