Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,27.619350,19.858,19.631,0.313,41.703,41.723,2.100,69.238,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.321,0.436,0.321,115,156,156,NA,4341,15, 36,36.466, 65,29,1,32,1,23,1,1,0,68,1,70,1,1,1,1,1,20,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,3840x2160,D3D12,0,17500,0x0000014305F9D4D0,0,512,Hardware Composed: Independent Flip,0,27.639358,20.007,55.471,0.321,41.821,77.187,2.090,104.665,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.319,0.433,0.319,115,156,156,NA,4341,15, 36,36.466, 65,29,1,32,1,23,1,1,0,68,1,70,1,1,1,1,1,20,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.659176,19.818,16.666,0.338,42.229,74.035,2.131,101.381,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.322,0.437,0.322,115,156,156,NA,4341,15, 36,36.466, 65,29,1,32,1,23,1,1,0,68,1,70,1,1,1,1,1,20,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.679252,20.076,8.301,0.380,44.172,62.260,2.200,89.856,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.318,0.431,0.318,115,156,156,NA,4341,15, 36,36.466, 65,29,1,32,1,23,1,1,0,68,1,70,1,1,1,1,1,20,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.699745,20.493,25.030,13.400,45.773,66.797,2.234,94.738,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.311,0.422,0.311,115,156,156,NA,4341,15, 36,36.466, 65,29,1,32,1,23,1,1,0,68,1,70,1,1,1,1,1,20,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.721388,21.643,16.627,0.310,43.428,61.781,2.007,77.742,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.295,0.400,0.295,115,156,156,NA,4341,15, 36,36.466, 65,29,1,32,1,23,1,1,0,68,1,70,1,1,1,1,1,20,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.743678,22.290,25.015,0.774,42.462,64.507,1.905,93.479,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.286,0.388,0.286,115,156,156,NA,4341,15, 36,36.466, 65,29,1,32,1,23,1,1,0,68,1,70,1,1,1,1,1,20,14,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.764907,21.230,16.644,0.254,42.465,59.921,2.000,88.216,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.300,0.407,0.300,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.786229,21.321,25.016,0.227,42.183,63.616,1.978,92.520,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.299,0.405,0.299,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.807484,21.255,16.653,0.200,42.037,59.014,1.978,87.883,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.300,0.406,0.300,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.828499,21.016,25.003,0.241,42.553,63.002,2.025,91.654,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.303,0.411,0.303,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.849608,21.109,25.028,0.295,43.273,66.921,2.050,95.050,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.302,0.409,0.302,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.871139,21.531,16.614,0.219,42.997,62.004,1.997,90.558,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.296,0.401,0.296,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.892972,21.832,25.063,0.227,42.836,65.235,1.962,94.191,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.292,0.396,0.292,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.914232,21.260,16.626,0.210,42.325,60.600,1.991,88.963,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.300,0.406,0.300,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.935898,21.667,24.983,0.299,42.017,63.916,1.939,92.699,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.294,0.399,0.294,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.956646,20.747,16.681,0.249,41.888,59.850,2.019,87.625,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.307,0.416,0.307,115,156,156,NA,4268,8, 39,41.307, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.978001,21.355,24.999,0.248,42.305,63.494,1.981,91.939,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.298,0.404,0.298,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,27.998620,20.619,25.033,0.225,42.935,67.907,2.082,95.625,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.309,0.419,0.309,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.020390,21.769,16.645,0.228,42.550,62.783,1.955,92.899,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.293,0.397,0.293,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.041653,21.264,24.999,0.260,42.906,66.519,2.018,96.125,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.300,0.406,0.300,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.063034,21.380,16.635,0.225,42.403,61.774,1.983,91.465,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.298,0.404,0.298,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.084644,21.611,25.082,0.214,42.188,65.245,1.952,95.213,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.295,0.400,0.295,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.105524,20.880,16.599,0.221,42.187,60.964,2.020,90.213,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.305,0.414,0.305,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.126934,21.410,25.002,0.225,42.347,64.556,1.978,94.315,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.298,0.403,0.298,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.147802,20.867,16.655,0.218,42.497,60.344,2.037,89.580,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.305,0.414,0.305,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.169370,21.569,25.009,0.213,42.420,63.785,1.967,93.709,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.295,0.400,0.295,115,156,156,NA,4268,8, 37,42.077, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.190385,21.014,16.653,0.223,41.988,59.423,1.998,88.806,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.303,0.411,0.303,115,156,156,NA,4268,8, 40,34.815, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.211879,21.495,25.032,0.205,42.398,62.961,1.972,92.821,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.296,0.402,0.296,115,156,156,NA,4268,8, 40,34.815, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.232459,20.580,25.028,0.232,43.473,67.409,2.112,95.865,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.310,0.420,0.310,115,156,156,NA,4268,8, 40,34.815, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.254362,21.903,16.601,0.218,42.174,62.107,1.925,91.881,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.291,0.394,0.291,115,156,156,NA,4268,8, 40,34.815, 65,20,0,24,0,15,0,0,0,37,0,32,0,0,0,0,0,14,9,10,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.275407,21.045,25.023,0.301,42.612,66.084,2.025,95.023,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.303,0.411,0.303,115,156,156,NA,4294,12, 40,34.815, 65,27,1,28,1,19,1,2,1,45,1,44,1,1,1,1,1,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NarakaBladepoint.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,17500,0x0000014305F9D4D0,0,512,Composed: Flip,0,28.296622,21.215,16.645,0.236,42.335,61.514,1.996,90.500,2775,9001,99,65,NA,NA,NA,NA,NA,NA,0.301,0.407,0.301,115,156,156,NA,4294,12, 40,34.815, 65,27,1,28,1,19,1,2,1,45,1,44,1,1,1,1,1,18,13,13,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
