Application,GPU,CPU,Resolution,Runtime,AllowsTearing,ProcessID,SwapChainAddress,SyncInterval,PresentFlags,PresentMode,Dropped,TimeInSeconds,MsBetweenPresents,MsBetweenDisplayChange,MsInPresentAPI,MsRenderPresentLatency,MsUntilDisplayed,Render Queue Depth,MsPCLatency,GPU0Clk(MHz),GPU0MemClk(MHz),GPU0Util(%),GPU0Temp(C),GPU1Clk(MHz),GPU1MemClk(MHz),GPU1Util(%),GPU1Temp(C),PCAT Power Total(W),Perf/W Total(F/J) (PCAT),Perf/W Total(F/J) (API),Perf/W GPUOnly(F/J) (API),Perf/W Total-USBC(F/J) (API),GPUOnlyPwr(W) (API),NV-Total-USBCPwr(W) (API),NV Pwr(W) (API),AMDPwr(W) (API),CPUClk(MHz),CPUUtil(%),CPU Package Temp(C),CPU Package Power(W),CPU TDP (W),CPUCoreUtil%[ 0],CPUCoreUtil%[ 1],CPUCoreUtil%[ 2],CPUCoreUtil%[ 3],CPUCoreUtil%[ 4],CPUCoreUtil%[ 5],CPUCoreUtil%[ 6],CPUCoreUtil%[ 7],CPUCoreUtil%[ 8],CPUCoreUtil%[ 9],CPUCoreUtil%[10],CPUCoreUtil%[11],CPUCoreUtil%[12],CPUCoreUtil%[13],CPUCoreUtil%[14],CPUCoreUtil%[15],CPUCoreUtil%[16],CPUCoreUtil%[17],CPUCoreUtil%[18],CPUCoreUtil%[19],CPUCoreUtil%[20],CPUCoreUtil%[21],CPUCoreUtil%[22],CPUCoreUtil%[23],CPUCoreUtil%[24],CPUCoreUtil%[25],CPUCoreUtil%[26],CPUCoreUtil%[27],CPUCoreUtil%[28],CPUCoreUtil%[29],CPUCoreUtil%[30],CPUCoreUtil%[31],CPUCoreUtil%[32],CPUCoreUtil%[33],CPUCoreUtil%[34],CPUCoreUtil%[35],CPUCoreUtil%[36],CPUCoreUtil%[37],CPUCoreUtil%[38],CPUCoreUtil%[39],CPUCoreUtil%[40],CPUCoreUtil%[41],CPUCoreUtil%[42],CPUCoreUtil%[43],CPUCoreUtil%[44],CPUCoreUtil%[45],CPUCoreUtil%[46],CPUCoreUtil%[47],CPUCoreUtil%[48],CPUCoreUtil%[49],CPUCoreUtil%[50],CPUCoreUtil%[51],CPUCoreUtil%[52],CPUCoreUtil%[53],CPUCoreUtil%[54],CPUCoreUtil%[55],CPUCoreUtil%[56],CPUCoreUtil%[57],CPUCoreUtil%[58],CPUCoreUtil%[59],CPUCoreUtil%[60],CPUCoreUtil%[61],CPUCoreUtil%[62],CPUCoreUtil%[63],Current Battery Capacity(Wh),Total Battery Capacity(Wh),Battery Percentage,Battery Drain Rate(W)
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.488505,16.576,16.672,0.131,0.126,21.137,0.008,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.992,1.963,0.992,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.505065,16.561,16.665,0.143,0.324,21.241,0.020,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.992,1.965,0.992,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.521653,16.588,16.683,0.128,0.144,21.336,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.991,1.961,0.991,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.538745,17.092,16.651,0.279,0.269,20.895,0.016,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.962,1.904,0.962,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.555487,16.742,16.671,0.139,0.132,20.824,0.008,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.982,1.943,0.982,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.572437,16.950,16.656,0.300,0.289,20.530,0.017,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.970,1.919,0.970,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.589167,16.730,16.677,0.144,0.139,20.477,0.008,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.982,1.945,0.982,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.605774,16.607,16.657,0.297,0.288,20.527,0.017,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.990,1.959,0.990,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.622489,16.716,16.677,0.112,0.146,20.488,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.983,1.946,0.983,30,60,60,NA,4458,29, 44,56.945, 65,100,0,90,0,66,0,63,0,99,0,99,0,50,0,0,0,8,5,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.639473,16.983,16.655,0.302,0.291,20.160,0.017,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.968,1.916,0.968,30,60,60,NA,4456,31, 44,56.945, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.656197,16.724,16.681,0.105,0.144,20.116,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.983,1.945,0.983,30,60,60,NA,4456,31, 44,56.945, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.672416,16.219,16.649,0.244,0.235,20.546,0.014,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,1.013,2.006,1.013,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.689066,16.650,16.673,0.102,0.145,20.569,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.987,1.954,0.987,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.705630,16.564,16.666,0.142,0.330,20.671,0.020,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.992,1.964,0.992,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.722176,16.547,16.681,0.103,0.156,20.806,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.993,1.966,0.993,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.738896,16.720,16.685,0.271,0.260,20.771,0.016,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.983,1.946,0.983,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.755619,16.723,16.638,0.150,0.142,20.686,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.983,1.946,0.983,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.771910,16.291,16.656,0.168,0.159,21.052,0.010,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,1.009,1.997,1.009,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.788475,16.565,16.672,0.100,0.142,21.158,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.992,1.964,0.992,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.805177,16.702,16.658,0.150,0.142,21.114,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.984,1.948,0.984,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.821724,16.547,16.679,0.092,0.148,21.246,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.993,1.966,0.993,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.838181,16.456,16.654,0.305,0.294,21.445,0.018,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.999,1.977,0.999,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.854905,16.724,16.680,0.113,0.140,21.400,0.008,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.983,1.945,0.983,30,60,60,NA,4456,31, 45,59.075, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.871899,16.994,16.654,0.297,0.284,21.060,0.017,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.967,1.914,0.967,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.888628,16.729,16.675,0.102,0.136,21.007,0.008,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.982,1.945,0.982,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.905192,16.564,16.657,0.290,0.278,21.100,0.017,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.992,1.964,0.992,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.921912,16.720,16.671,0.111,0.145,21.051,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.983,1.946,0.983,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.938747,16.835,16.671,0.160,0.464,20.887,0.028,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.976,1.933,0.976,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.955319,16.572,16.659,0.103,0.145,20.974,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.992,1.963,0.992,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.971808,16.489,16.662,0.160,0.151,21.147,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.997,1.973,0.997,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,25.988365,16.557,16.671,0.100,0.146,21.261,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.993,1.965,0.993,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,26.005169,16.804,16.659,0.152,0.143,21.116,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.978,1.936,0.978,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
likeadragongaiden.exe,NVIDIA GeForce RTX 4060 Ti,12th Gen Intel(R) Core(TM) i7-12700,WINDOWED,D3D12,0,18612,0x0000000A8F56F140,0,0,Composed: Flip,0,26.021723,16.554,16.679,0.090,0.146,21.241,0.009,NA,2385,9001,38,56,NA,NA,NA,NA,NA,NA,0.993,1.965,0.993,30,60,60,NA,4456,31, 46,57.405, 65,100,1,81,1,78,1,65,1,99,1,99,1,49,1,1,1,11,7,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
